PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO285435,DEPARTMENT OF TRANSPORTATION,"UNIFORMS, BLENDED FABRIC 85",$5233.00,01/02/2009,MORGANS INC,900 RHODE ISLAND AVENUE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO300497,DEPARTMENT OF TRANSPORTATION,HIGHWAYS; STREETS; AIRPORT PAY-PARKING LOTS - ARCHITECTURAL 46,$297907.00,06/24/2009,"CH2M HILL, D.C., P.C.",9191 SOUTH JAMILA ST.  ; ENGLEWOOD  ; CO  ; 80112,ENGLEWOOD  ,CO
PO300546,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$12525.00,06/24/2009,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO284863-V2,OFFICE OF ZONING,"OFFICE SUPPLIES, GENERAL 00",$7500.00,06/24/2009,BRANCH SUPPLY INCORPORATION,1050 17TH STREET NW SUITE 1000  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO300494,DEPARTMENT OF TRANSPORTATION,HIGHWAYS; STREETS; AIRPORT PAY-PARKING LOTS - ARCHITECTURAL 46,$715238.00,06/24/2009,RUMMEL KLEPPER AND KAHL LLP,81 MOSHER STREET  ; BALTIMORE  ; MD  ; 21217,BALTIMORE  ,MD
PO300453,DEPARTMENT OF PUBLIC WORKS,"BARBER SHOP SUNDRIES: CLIPPER LUBRICANTS, DISINFECTANTS, DISPENSING BOTTLES, MUGS, NECK DUSTERS, TRAYS, ETC. 21",$10920.00,06/24/2009,MDM OFFICE SYSTEMS DBA,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO300520,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSTRUCTION MANAGEMENT SERVICES 26,$28119.48,06/24/2009,VERTEX BUSINESS INTERIORS,7249.A AMBASSADOR RD   ; BALTIMORE  ; MD  ; 21244-,BALTIMORE  ,MD
PO298679-V2,UNIVERSITY OF DISTRICT OF COLUMBIA,REFLECTIVE FILM (SOLAR TYPE SUN SCREEN) 25,$8420.25,06/24/2009,GENERAL SOLAR CORPORATION,11607 NEBEL STREET  ; ROCKVILLE  ; MD  ; 20852,ROCKVILLE  ,MD
PO299354-V2,OFFICE OF THE CHIEF FINANCIAL OFFICER,NEWSPAPER AND PUBLICATION ADVERTISING 71,$9500.00,06/24/2009,THEWASHINGTON TIMES LLC,3600 NY AVE NE   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO300605,UNIVERSITY OF DISTRICT OF COLUMBIA,"ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03",$39500.00,06/25/2009,"WIMBA, INC.",10 EAST 40TH ST 11TH FLOOR  ; NEW YORK  ; NY  ; 10016-,NEW YORK  ,NY
PO300700,UNIVERSITY OF DISTRICT OF COLUMBIA,COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33,$26232.00,06/25/2009,METROPOLITAN OFFICE PRODUCTS,910 BARNABY ST SE # 201  ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO300681,DEPARTMENT OF EMPLOYMENT SERVICES,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$16305.21,06/25/2009,DELL COMPUTER CORP,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO300614,DISTRICT DEPARTMENT OF THE ENVIRONMENT,ECOLOGICAL SERVICES 40,$550000.00,06/25/2009,NAT'L FISH AND WILDLIFE FOUNDA,"1133 15TH STREET NW, STE 1100  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO293219-V2,DEPARTMENT OF HEALTH,TOKENS 88,$3442.50,06/25/2009,WASH METRO AREA TRANSIT AUTH,600 5TH STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO300714,UNIVERSITY OF DISTRICT OF COLUMBIA,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$2658.99,06/25/2009,DELL COMPUTER CORP,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO300679,OFFICE OF THE CHIEF FINANCIAL OFFICER,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$7000.00,06/25/2009,GOVERNMENT FINANCE GROUP,"JOHN L. KRAUSE, JR. 2306 WILKINSON PLACE  ; ALEXANDRIA  ; VA  ; 22306",ALEXANDRIA  ,VA
PO300699,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$7671.00,06/25/2009,UNION TEMPLE BAPTIST CHURCH,1225 W STREET SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO300716,UNIVERSITY OF DISTRICT OF COLUMBIA,"COMPUTERS, PARTS AND SUPPLIES 29",$10509.63,06/25/2009,DELL COMPUTER CORP,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO300592,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, HIGHWAY AND ROAD 27",$3300000.00,06/25/2009,FORT MYER CONSTRUCTION CORPORA,"2237 - 33RD STREET, N.E.  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO300593,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, HIGHWAY AND ROAD 27",$2400000.00,06/25/2009,FORT MYER CONSTRUCTION CORPORA,"2237 - 33RD STREET, N.E.  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO300609,DEPARTMENT OF PUBLIC WORKS,"AUTOMOBILE, TRUCK AND BUS PARTS AND EQUIPMENT 09",$50000.00,06/25/2009,THC ENTERPRISES INC MIDATLANTI,10641 CORDOVA ROAD  ; EASTON  ; MD  ; 21601,EASTON  ,MD
PO300713,DEPARTMENT OF EMPLOYMENT SERVICES,"POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57",$73920.00,06/25/2009,PITNEY BOWES,7630 LITTLE RIVER TURNPIKE                         SUITE 800M  ; ANNANDALE  ; VA  ; 22003,ANNANDALE  ,VA
PO300684,DEPARTMENT OF CORRECTIONS,PRISONER CLOTHING 49,$18750.00,06/25/2009,AMERICAN SUPPLY COMPANY,316 F. ST. NE. 103  ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO300702,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"INSTRUCTIONAL AIDS: COURSES, LESSON PLANS (PREPARED), PROGRAMS, ANCILLARY MATERIALS, VIDEOS, ETC. (SEE CLASS 715 FOR TEXTBOOKS) 70",$3898.67,06/25/2009,GREENWOOD PUBLISHING GROUP INC,DBA HEINEMANN 361 HANOVER ST  ; PORTSMOUTH  ; NH  ; 03801-,PORTSMOUTH  ,NH
PO300591,DEPARTMENT OF TRANSPORTATION,"PAVING/RESURFACING, HIGHWAY AND ROAD 95",$4000000.00,06/25/2009,FORT MYER CONSTRUCTION CORPORA,"2237 - 33RD STREET, N.E.  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO300590,DEPARTMENT OF TRANSPORTATION,"PAVING/RESURFACING, HIGHWAY AND ROAD 95",$4300000.00,06/25/2009,FORT MYER CONSTRUCTION CORPORA,"2237 - 33RD STREET, N.E.  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO300705,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$75000.00,06/25/2009,"SPECIAL ED. SOLUTIONS,LLC",2139 COMMONS PARKWAY   ; OKEMOS  ; MI  ; 48864-,OKEMOS  ,MI
PO288716-V2,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$4122.00,06/25/2009,DUNGARVIN DC LLC,2802 COHO STREET  SUITE 100  ; MADISON  ; WI  ; 53713,MADISON  ,WI
PO300594,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$20487.94,06/25/2009,"DHHS, PSC, DPM","PSC, FMS RM 16A-12 5600 FISHERS LANE   ; ROCKVILLE  ; MD  ; 20857-",ROCKVILLE  ,MD
PO300638,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$7419.00,06/25/2009,SANZ SCHOOL INC,1720 EYE STREET NW LOWER LEVEL  ; WASHINGTON  ; DC  ; 20006,WASHINGTON  ,DC
PO300625,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$7995.00,06/25/2009,DYARAN SANDILA DBA/3 SOFT USA,301 MAPLE AVENUE WEST  SUITE 130  ; VIENNA   ; VA  ; 22180-,VIENNA   ,VA
PO300634,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$7840.00,06/25/2009,HOWARD UNIVERSITY,2400 SIXTH STREET NW  ; WASHINGTON  ; DC  ; 20059,WASHINGTON  ,DC
PO300717,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSULTING SERVICES 00,$22500.00,06/25/2009,LORISE Y. WHITE WOLFE,601 JUNEBERRY COURT  ; BOWIE  ; MD  ; 20721,BOWIE  ,MD
PO275625-V2,OFFICE OF THE CHIEF FINANCIAL OFFICER,CONSULTING SERVICES 00,$129576.24,06/25/2009,REGIS & ASSOCIATES PC,1010 VERMONT AVE. NW. #400  ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO300598,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$22650.00,06/25/2009,NATIONAL HOUSING CORPORATION,820 H STREET N.E.   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO300631,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$3687.25,06/25/2009,"QUALITY FIRST TRAINING CENTER,",6475 NEW HAMPSHIRE AVENUE SUITE 501  ; HYATTSVILLE  ; MD  ; 20783-,HYATTSVILLE  ,MD
PO300635,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$13100.00,06/25/2009,GEORGETWN UNIV LOMBARDI CANCER,37TH & O STREET NW                                 PO BOX 571173  ; WASHINGTON  ; DC  ; 20057,WASHINGTON  ,DC
PO300596,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"CONSTRUCTION SERVICES, GENERAL 00",$75000.00,06/25/2009,MIRACLE CLEANING & MAINTENANCE,439 10TH STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO300611,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$17697.00,06/25/2009,OPPORTUNITIES INDUSTRIAL,3707 MLK AVENUE SE   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO300620,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MUSICAL EQUIPMENT 70,$4500.00,06/25/2009,WASHINGTON MUSIC CENTER,11151 VEIRS MILL ROAD  ; WHEATON  ; MD  ; 20902,WHEATON  ,MD
PO300618,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MUSICAL EQUIPMENT 70,$4500.00,06/25/2009,WASHINGTON MUSIC CENTER,11151 VEIRS MILL ROAD  ; WHEATON  ; MD  ; 20902,WHEATON  ,MD
PO300616,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MUSICAL EQUIPMENT 70,$4000.00,06/25/2009,WASHINGTON MUSIC CENTER,11151 VEIRS MILL ROAD  ; WHEATON  ; MD  ; 20902,WHEATON  ,MD
PO300687,DEPARTMENT OF TRANSPORTATION,ENGINEERING CONSULTING 42,$4000.00,06/25/2009,APC SALES AND SERVICE CORP,132 FAIRGROUNDS ROAD  ; WEST KINGSTON  ; RI  ; 02892,WEST KINGSTON  ,RI
PO300641,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$15500.00,06/25/2009,TONI THOMAS ASSOCIATES INC,1920 MLK JR AVE SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO300626,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$6221.00,06/25/2009,DUDLEY BEAUTY SCHOOL,;    ;    ;,,
PO300375,DEPARTMENT OF PUBLIC WORKS,REMODELING AND ALTERATIONS 65,$4950.00,06/25/2009,CONSTRUCTION AND SAFETY SERVIC,1050 CONNECTICUT AVENUE NW 10TH FLOOR  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO300636,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$20500.00,06/25/2009,RIZEUP TECHNOLOGY TRAINING,2905 HALIFAX STREET  ; WALDORF  ; MD  ; 20603,WALDORF  ,MD
PO300686,OFFICE OF UNIFIED COMMUNICATIONS,"PROFESSIONAL: COMPUTER TRAINING, HOSPITAL/PHARMACY, LEGAL, ETC. 66",$10000.00,06/25/2009,SVETLO CONSULTING INC.,87 RONALD ROAD  ; ARLINGTON  ; MA  ; 02474,ARLINGTON  ,MA
PO300678,COUNCIL OF THE DISTRICT OF COLUMBIA,INTERNET AND WEB SITE SOFTWARE FOR MICROCOMPUTERS 54,$6160.00,06/25/2009,YOUSEF ALI,"1255 NEW HAMPSHIRE AVENUE, NW  ; WASHINGTON  ; DC  ; 20036",WASHINGTON  ,DC
PO300718,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"WORKSTATIONS: SPARC, RISC, ETC. (FOR USE WITH CAD/CAM, ETC.) 96",$2790.00,06/25/2009,OFFIX LC,10222 BATTLEVIEW PARKWAY  ; MANASSAS  ; VA  ; 20109,MANASSAS  ,VA
PO300357,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$34500.00,06/25/2009,ORACLE CORPORATION,500 ORACLE PARKWAY   ; REDWOOD SHORES  ; CA  ; 94065-,REDWOOD SHORES  ,CA
PO300628,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$7662.00,06/25/2009,"SHD HOLDINGS INC, DBA  ACE",7833 WALKER DRIVE SUITE 520C  ; GREENBELT  ; MD  ; 20770-3211,GREENBELT  ,MD
PO300601,DEPARTMENT OF REAL ESTATE SERVICES,COMMUNICATIONS CABLE 29,$7000.00,06/25/2009,"MCLEAN CONTROLS, INC",21D INDUSTRIAL PARK DRIVE  ; WALDORF  ; MD  ; 20602,WALDORF  ,MD
PO300642,OFFICE OF CONTRACTING AND PROCUREMENT,"FILING CABINETS, METAL: CARD, JUMBO, LATERAL, LEGAL, AND LETTER 40",$33422.82,06/25/2009,NATIONAL OFFICE SYSTEMS INC,7621 RICKENBACKER DRIVE SUITE 400  ; GAITHERSBURG  ; MD  ; 20879-,GAITHERSBURG  ,MD
PO300680,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"BUILDING CONSTRUCTION, RESIDENTIAL (APARTMENTS, ETC.) 23",$178007.00,06/25/2009,"DISTRICT VETERANS CONTRACTING,","3172 BLADENSBURG ROAD, N.E. UNIT B  ; WASHINGTON  ; DC  ; 20018-2204",WASHINGTON  ,DC
PO300608,DEPARTMENT OF PUBLIC WORKS,"BLUE PRINTING SERVICES: BLUE PRINTS, BLUE LINE, LARGE ENGINEERING 14",$4946.00,06/25/2009,BEAVER PRESS INC.,"15 OGLETHORPE STREET, NW  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO289831-V6,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$241548.31,06/25/2009,GENTLE TOUCH INC,337 BRIGHTSEAT ROAD SUITE #111  ; LANDOVER  ; MD  ; 20785,LANDOVER  ,MD
PO300682,OFFICE OF THE CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$47494.68,06/25/2009,BUSINESS OBJECTS AMERICAS,3410 HILLVIEW AVE   ; PALO ALTO   ; CA  ; 94304-,PALO ALTO   ,CA
PO294563-V2,DEPT. OF HOUSING AND COMM. DEVELOPMENT,"PERSONNEL SERVICES, TEMPORARY 69",$24852.00,06/25/2009,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO300597,DEPARTMENT OF HEALTH CARE FINANCE,COMPUTER SOFTWARE CONSULTING 29,$3900000.00,06/25/2009,"MEDPLUS, INC.",4690 PARKWAY DRIVE  ; MASON  ; OH  ; 45040,MASON  ,OH
PO300643,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$3200.00,06/25/2009,PARALEGAL INST OF WASH DC,"4931 MASSACHUSETTS AVENUE, NW                      BUSINESS OFFICE  ; WASHINGTON  ; DC  ; 20016",WASHINGTON  ,DC
PO300633,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$3985.00,06/25/2009,TECHNICAL LEARNING CENTER,1001 CONNECTICUT AVE NW                            SUITE 435  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO300613,D.C. DEPARTMENT OF HUMAN RESOURCES,"TRAINING, COMPUTER BASED (SOFTWARE SUPPORTED) 91",$19192.00,06/25/2009,LEARNING TREE INTERNATIONAL,6053 WEST CENTRY BLVD                              SUITE 200  ; LOS ANGELES  ; CA  ; 31193,LOS ANGELES  ,CA
PO300603,DPM - GOVERNMENT FACILITIES,BUILDINGS - ARCHITECTURAL DESIGN 10,$168000.00,06/25/2009,"RTKL D.C. ASSOCIATES, P.C.",901 SOUTH BOND STREET   ; BALTIMORE  ; MD  ; 21231-,BALTIMORE  ,MD
PO300617,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$77920.00,06/25/2009,OST INC,1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO300604,COMM OF JUDICIAL DISABILITIES & TENURE,"OFFSET PRINTING, BOOKS, PERFECT BOUND (QUAN. OVER 10,000); 4 COLOR PROCESS ACCEPTABLE 66",$4825.28,06/25/2009,"BRENTWORKS, INC.",1776 EYE STREET NW 9TH FLOOR  ; WASHINGTON  ; DC  ; 20006,WASHINGTON  ,DC
PO300689,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,OFFICE EQUIPMENT (NOT COPIERS) 72,$2691.40,06/25/2009,MVS INC,1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO300555,DEPARTMENT OF EMPLOYMENT SERVICES,DELIVERED MEALS (INCLUDING SHELF STABLE MEALS) 30,$9741.60,06/26/2009,SODEXHO,PO BOX 590504  ; WASHINGTON  ; DC  ; 20059,WASHINGTON  ,DC
PO300761,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,JANITORIAL PRODUCTS MANUFACTURING SERVICES 45,$232478.52,06/26/2009,ARIE'S SUPPLY INC,3921 SOUTH CAPITOL STREET SW                       SUITE 5  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO298874-V2,OFFICE OF THE CHIEF FINANCIAL OFFICER,NEWSPAPER AND PUBLICATION ADVERTISING 71,$7500.00,06/26/2009,NORTHWEST CURRENT INC,5185 MACARTHUR BLVD NW                             SUITE 102  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO299342-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATION AND TRAINING CONSULTING 38,$380352.20,06/26/2009,UNIVERSITY OF DISTRICT OF COL,"FOUNDATION                                         4200 CONNECTICUT AVENUE, NW  ; WASHINGTON  ; DC  ; 20008",WASHINGTON  ,DC
PO300754,EQUIPMENT LEASE - CAPITAL,TELEPHONE EQUIPMENT AND PIECE PARTS (NOT LINES OR OTHERWISE LISTED) 55,$40521.50,06/26/2009,MVS INC,1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO300847,DEPARTMENT OF PARKS AND RECREATION,"PAINT, VARNISH, LACQUER AND RELATED PRODUCTS PRODUCTION SERVICES 55",$9247.50,06/26/2009,MORGANS INC,900 RHODE ISLAND AVENUE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO294921-V2,DC PUBLIC LIBRARY,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$5400.00,06/26/2009,CENTER FOR STUDY OF SERVICES,1625 K STREET NW 8TH FLOOR   ; WASHINGTON  ; DC  ; 20006-,WASHINGTON  ,DC
PO300751,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$12750.00,06/26/2009,"AMT, LLC",10 G STREET NE SUITE 430  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO291112-V2,DEPARTMENT OF MENTAL HEALTH,MEDICAL CONSULTING 78,$20806.00,06/26/2009,DR. DENISE MAULTSBY-BROWN,10903 WACO DRIVE  ; UPPER MARLBORO  ; MD  ; 20772,UPPER MARLBORO  ,MD
PO300758,DEPARTMENT OF REAL ESTATE SERVICES,GUARD AND SECURITY SERVICES 46,$2999.13,06/26/2009,ABC TECHNICAL SOLUTIONS INC,1100 H STREET NW                                   SUITE 410  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO300814,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROJECT MANAGEMENT 68,$384288.00,06/26/2009,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO276536-V5,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$80000.00,06/26/2009,SOFT SCRIBE LLC,303 AINSTREE COURT SUITE 101  ; VIENNA  ; VA  ; 22180-,VIENNA  ,VA
PO300884,DEPARTMENT OF HEALTH,ADVERTISING/PUBLIC RELATIONS 03,$185000.00,06/26/2009,"OCTANE, LLC",1806 VERNON STREET NW                              #200  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO277184-V2,OFFICE OF THE CHIEF MEDICAL EXAMINER,MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55,$33000.00,06/26/2009,ORCHID CELLMARK,13988 DIPLOMAT DRIVE   ; FAMERS BRANCH  ; TX  ; 75234-,FAMERS BRANCH  ,TX
PO300756,EQUIPMENT LEASE - CAPITAL,"WIRE AND CABLE, ELECTRONIC: AUDIO, COAXIAL, HOOK-UP, LEAD-IN, ETC. 96",$9724.00,06/26/2009,PAIGE INTERNATIONAL,3166 TENNYSON STREET NW   ; WASHINGTON  ; DC  ; 20015-2360,WASHINGTON  ,DC
PO300818,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$23680.00,06/26/2009,"LEXOLUTION, LLC",1101 VERMOUNT AVENUE NW SUITE 1001  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO300769,SPECIAL EDUCATION TRANSPORTATION,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$200000.00,06/26/2009,DC HOUSING AUTHORITY,"1133 N. CAPITOL ST., NE, #329  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO300780,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ADVERTISING/PUBLIC RELATIONS 03,$168340.00,06/26/2009,TEACH FOR AMERICA INC,315 W. 36 STREET                                   6TH FLOOR  ; NEW YORK  ; NY  ; 10018,NEW YORK  ,NY
PO300760,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,JANITORIAL PRODUCTS MANUFACTURING SERVICES 45,$250000.00,06/26/2009,MTW DISTRIBUTORS INC,1235 KENILWORTH AVE NE SUITE#8  ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO300815,DEPARTMENT OF MENTAL HEALTH,"ELECTRONIC AND COMMUNICATION EQUIPMENT SERVICES (INCLUDING INSTALLATION, MAINTENANCE AND REPAIR) 44",$19586.00,06/26/2009,ALLIANCE MICRO,4124 WALNEY RD  ; CHANTILLY  ; VA  ; 20151-0151,CHANTILLY  ,VA
PO300829,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$137700.00,06/26/2009,GUERILLA ARTS INC.,"2825 7TH STREET, NE   ; WASHINGTON  ; DC  ; 20017-",WASHINGTON  ,DC
PO300850,METROPOLITAN POLICE DEPARTMENT,EMERGENCY MEDICAL SERVICES (SEE 948-12 FOR AMBULANCE SERVICES) 37,$173000.00,06/26/2009,UNITED MEDICAL CENTER FOUNDATI,"1310 SOUTHERN AVENUE, S.E.  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO300774,DEPARTMENT OF TRANSPORTATION,PAVEMENT DATA COLLECTION SERVICES 62,$103720.00,06/26/2009,APPLIED RESEARCH ASSOC. INC.,"4300 SAN MATEO BLVD., NE SUITE A-220  ; ALBUQUERQUE  ; NM  ; 87110-1295",ALBUQUERQUE  ,NM
PO266664-V2,EQUIPMENT LEASE - CAPITAL,"INSTALLATION OF COMPUTERS, PERIPHERALS, AND RELATED EQUIPMENT (INCLUDING SOFTWARE) 31",$568100.00,06/26/2009,"NEW LIGHT TECHNOLOGIES, INC.",7412 ALASKA AVENUE NW   ; WASHINGTON  ; DC  ; 20012-,WASHINGTON  ,DC
PO300831,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$165000.00,06/26/2009,DISTRICT OF COLUMBIA AGENCIES,"CLERK OF THE COURT, DC                             500 INDIANA AVE. NW STE 500  ; WASHINGTON  ; DC  ; 20001",WASHINGTON  ,DC
PO300823,UNIVERSITY OF DISTRICT OF COLUMBIA,MAGAZINE SUBSCRIPTIONS 40,$26411.00,06/26/2009,LYRASIS,;    ;    ;,,
PO300832,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$292560.00,06/26/2009,BEYONDVISION,"3115 GEORGIA AVE., NW                              SUITE 4  ; WASHINGTON  ; DC  ; 20010",WASHINGTON  ,DC
PO300825,UNIVERSITY OF DISTRICT OF COLUMBIA,PROFESSIONAL JOURNAL SUBSCRIPTIONS 60,$5043.50,06/26/2009,EBSCO PUBLISHING,10 ESTES STREET                                    P.O. BOX 682  ; IPSWICH  ; MA  ; 01938,IPSWICH  ,MA
PO300839,UNIVERSITY OF DISTRICT OF COLUMBIA,PROFESSIONAL JOURNAL SUBSCRIPTIONS 60,$14955.00,06/26/2009,LYRASIS,;    ;    ;,,
