PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO352134,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$11280.00,01/03/2011,ROBERT MORRIS,413 5TH STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO373417,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"NETWORK COMPONENTS: ADAPTER CARDS, BRIDGES, CONNECTORS, EXPANSION MODULES/PORTS, FIREWALL DEVICES, HUBS, LINE DRIVERS, MSAUS, ROUTERS, TRANSCEIVERS, ETC. 64",$149082.00,09/20/2011,"NCS PEARSON, INC",5601 GREEN VALLEY DRIVE  ; BLOOMINGTON  ; MN  ; 55437,BLOOMINGTON  ,MN
PO359186-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$33353.56,09/20/2011,UNION TEMPLE BAPTIST CHURCH,1225 W STREET SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO359185-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$60501.20,09/20/2011,TRANSGENDER HEALTH EMPOWERMENT,"1414 NORTH CAPITAL STREET, NW   ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO361437-V5,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$53000.00,09/20/2011,LIBERTY HEALTHCARE CORP.,401 E  CITY AVENUE #820   ; BALA CYNWYD  ; PA  ; 19004-9004,BALA CYNWYD  ,PA
PO373428,DEPARTMENT ON DISABILITY SERVICES,MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55,$577615.68,09/20/2011,LIBERTY HEALTHCARE CORP.,401 E  CITY AVENUE #820   ; BALA CYNWYD  ; PA  ; 19004-9004,BALA CYNWYD  ,PA
PO373431,DEPARTMENT ON DISABILITY SERVICES,MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55,$42142.56,09/20/2011,LIBERTY HEALTHCARE CORP.,401 E  CITY AVENUE #820   ; BALA CYNWYD  ; PA  ; 19004-9004,BALA CYNWYD  ,PA
PO373435,DEPARTMENT ON DISABILITY SERVICES,MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55,$52864.30,09/20/2011,LIBERTY HEALTHCARE CORP.,401 E  CITY AVENUE #820   ; BALA CYNWYD  ; PA  ; 19004-9004,BALA CYNWYD  ,PA
PO373470,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CAMERAS, MOVIE; AND ACCESSORIES 30",$11490.72,09/20/2011,B & H FOTO & ELECTORNICS CORP,420 NINTH AVENUE  ; NEW YORK  ; NY  ; 10001,NEW YORK  ,NY
PO373363,DC PUBLIC LIBRARY,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$10857.10,09/20/2011,BARNES & NOBLE BOOKSELLERS INC,122 FIFTH AVE   ; NEW YORK  ; NY  ; 10011-,NEW YORK  ,NY
PO373393,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SCANNERS AND READERS, OPTICAL CHARACTER: BAR CODE, REMITTANCE SCANNER/PROCESSORS, ETC. 86",$2814.00,09/20/2011,FOLLETT SOFTWARE CO.,1391 CORPORATE DR  ; MCHENRY  ; IL  ; 60050,MCHENRY  ,IL
PO373474,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$5000.00,09/20/2011,WILSON LANGUAGE TRAINING CORP.,47 OLD WEBSTER ROAD   ; OXFORD  ; MA  ; 01540-,OXFORD  ,MA
PO373433,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PAPER GOODS: DIAPERS, MEDICATION BLISTER CARDS, PILLOW CASES, SHEETS, WIPING TISSUES, ETC. 64",$4990.04,09/20/2011,POSITIVE PROMOTIONS,15 GILPIN AVE  ; HAUPPAUGE  ; NY  ; 11788,HAUPPAUGE  ,NY
PO373471,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$30000.00,09/20/2011,"ROBERT SILMAN ASSOCIATES, PLLC","1053 31ST STREET, NW  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO350603-V3,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TUTORING 80,$58400.00,09/20/2011,THE RIGHT PREP LLC,12008 NW 13TH STREET  ; PEMBROKE PINES  ; FL  ; 33026-3876,PEMBROKE PINES  ,FL
PO343022-V2,DEPARTMENT ON DISABILITY SERVICES,MEDICAL CONSULTING 78,$23280.08,09/20/2011,NANCY CLARK,5918 GREENTREE ROAD   ; BETHESDA  ; MD  ; 20817-,BETHESDA  ,MD
PO373401,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: 9TH THRU 12TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 87,$4991.90,09/20/2011,"REACH FOR COLLEGE, INC","700 12TH ST. NW, STE. 700   ; WASHINGTON  ; DC  ; 20005-",WASHINGTON  ,DC
PO373364,DC PUBLIC LIBRARY,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$15000.00,09/20/2011,"RECORDED BOOKS, INC",270 SKIPJACK RD  ; PRICE FREDRICK  ; MD  ; 20678,PRICE FREDRICK  ,MD
PO373477,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$9997859.00,09/20/2011,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO373421,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COMPUTER INSTRUCTIONAL AIDS AND TRAINING DEVICES 32,$3495.00,09/20/2011,SCHOOL IMPROVEMENT NETWORK,32 WEST CENTER STREET   ; MIDVALE  ; UT  ; 84047-,MIDVALE  ,UT
PO344492-V3,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$36200.00,09/20/2011,"CHW SOLUTIONS, INC.","3215 MLK, JR. AVE, SE  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO373423,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: KINDERGARTEN THRU 5TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 85,$2670.03,09/20/2011,"TRIUMPH LEARNING, COACH BOOKS",136 MADISON AVENUE                                 7TH FLOOR  ; NEW YORK  ; NY  ; 10016,NEW YORK  ,NY
PO365932-V2,OFFICE OF TENANT ADVOCATE,"ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65",$30907.13,09/20/2011,FLIK INTERNATIONAL,800 FLORIDA AVENUE NE   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO373404,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,APPLICATIONS SOFTWARE (FOR MINICOMPUTER SYSTEMS) 14,$14600.00,09/20/2011,"IMAGINE LEARNING, INC.",191 RIVER PARK DRIVE   ; PROVO  ; UT  ; 84604-,PROVO  ,UT
PO373387,DEPARTMENT OF MENTAL HEALTH,EDUCATION AND TRAINING CONSULTING 38,$67000.00,09/20/2011,"TRILOGY INTEGRATED RESOURCES,",1101 FIFTH AVENUE SUITE 250  ; SAN RAFAEL  ; CA  ; 94901,SAN RAFAEL  ,CA
PO373355,"DEPART OF INSURANCE,SECURITIES & BANKING","COMPUTER SYSTEMS, PROCESS CONTROL 28",$4494.40,09/20/2011,"BIZTECH FUSION, LLC",7206 BRECKENRIDGE STREET  ; LAUREL  ; MD  ; 20707,LAUREL  ,MD
PO363408-V5,SPECIAL EDUCATION TRANSPORTATION,"BUSES, SCHOOL AND MASS TRANSIT, MAINTENANCE AND REPAIR (NOT OTHERWISE CLASSIFIED 24",$460000.00,09/20/2011,"ODYSSEY SST BUS AND TRUCK REPAIR, INC.",5200 46TH AVE  ; HYATTSVILLE  ; MD  ; 20781,HYATTSVILLE  ,MD
PO373476,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65",$12500.00,09/20/2011,"FHI DEVELOPMENT 360, LLC",1825 CONNECTICUT AVE NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO373390,OFFICE OF MOTION PICTURES & TELEVISION,"SUPPORT SERVICES, COMPUTER (INCLUDES COMPUTER WARRANTIES) 47",$20750.00,09/20/2011,REEL-SCOUT,"1900 ABBOTT ST., #100  ; CHARLOTTE  ; NC  ; 28203",CHARLOTTE  ,NC
PO373366,DC PUBLIC LIBRARY,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$50150.00,09/20/2011,"LIBRARY IDEAS, LLC",2812-D MERRILEE DRIVE   ; FAIRFAX  ; VA  ; 22031,FAIRFAX  ,VA
PO373442,FIRE AND EMERGENCY MEDICAL SERVICES,"NOT-FOR-CREDIT CLASSES, SEMINARS, WORKSHOPS, ETC. 60",$25000.00,09/20/2011,"ADORE, LLC","1605 CRITTENDEN ST, NE  ; WASHINGTON  ; DC  ; 20017-0000",WASHINGTON  ,DC
PO373444,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$118926.00,09/20/2011,ENVIRONMENTAL SYSTEMS RESEARCH,380 NEW YORK STREET  ; REDLANDS  ; CA  ; 92373-8100,REDLANDS  ,CA
PO373452,DEPARTMENT OF TRANSPORTATION,"COMPUTERS, DATA PROCESSING EQUIPMENT AND ACCESSORIES (NOT WORD PROCESSING EQUIPMENT), MAINTENANCE AND REPAIR 21",$100000.00,09/20/2011,DAVID VOLKERT & ASSOCIATES,301                                                5400 SHAWNEE ROAD  ; ALEXANDRIA  ; VA  ; 22312,ALEXANDRIA  ,VA
PO373443,DEPARTMENT OF HUMAN SERVICES,"PADS, FURNITURE, PROTECTIVE AND MOVING 62",$10000.00,09/20/2011,AMERICAN SIGNATURE FURNITURE,4300 EAST FIFTH AVENUE  ; COLUMBUS  ; OH  ; 43219,COLUMBUS  ,OH
PO373434,DEPART OF YOUTH REHABILITATION SERVICES,BASKETBALL EQUIPMENT (INCLUDING BACKBOARDS AND BACKSTOPS) 30,$2857.00,09/20/2011,THE HAMILTON GROUP,4406 GAULT PLACE NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO373439,DEPART OF YOUTH REHABILITATION SERVICES,"DORMITORY FURNITURE, PLASTIC: WARDROBES, BEDS, BUNKBEDS, DESKS, ETC. 18",$12972.00,09/20/2011,THE HAMILTON GROUP,4406 GAULT PLACE NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO373475,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$2706.46,09/20/2011,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO373356,DEPARTMENT ON DISABILITY SERVICES,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$27343.00,09/20/2011,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO373420,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$3400.00,09/20/2011,INNOVATIVE LEARNING CONCEPTS,6760 CORPORATE DRIVE  ; COLORADO SPRINGS  ; CO  ; 80919,COLORADO SPRINGS  ,CO
PO373446,COUNCIL OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$3000.00,09/20/2011,"OBVERSE CORPORATION, INC.",6925 WILLOW STREET NW                              SUITE 230  ; WASHINGTON  ; DC  ; 20012,WASHINGTON  ,DC
PO352782-V3,OFFICE OF CHIEF FINANCIAL OFFICER,COMPUTER SOFTWARE CONSULTING 29,$5662.60,09/20/2011,"SHRED-IT USA, INC.",850 EAST GUDE DRIVE                                SUITE H  ; ROCKVILLE  ; MD  ; 20850,ROCKVILLE  ,MD
PO373458,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BELTS AND SUSPENDERS 25,$6401.00,09/20/2011,VS ATHLETICS,4035 SOUTH HIGUERA  ; SAN LUIS OBISPO  ; CA  ; 93401,SAN LUIS OBISPO  ,CA
PO315531-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$18690.00,09/20/2011,"SMK ENTERPRISES, INC",5 ASPEN DRIVE  ; LEOLA  ; PA  ; 17540,LEOLA  ,PA
PO373402,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"DISPLAYS, EDUCATIONAL: KITS, MODELS, PLAQUES, ETC. 44",$2593.61,09/20/2011,PREMIER OFFICE & MEDICAL SUPPL,1020 49TH STREET NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO346590-V4,OFFICE OF CHIEF FINANCIAL OFFICER,"POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57",$655000.00,09/20/2011,US POSTAL SERVICE,STAMP STORE POSTAL SQUARE STA                      #2 MASS AVENUE NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO370640,STATE SUPERINTENDENT OF EDUCATION (OSSE),SPECIAL EDUCATION 74,$5000.00,09/20/2011,APPLE COMPUTER INC,1 INFINITE LOOP   ; CUPERTINO  ; CA  ; 95014-,CUPERTINO  ,CA
PO373412,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$200000.00,09/20/2011,"INCAPSULATE, LLC",1934 OLD GALLOWS RD STE 350  ; VIENNA  ; VA  ; 22182,VIENNA  ,VA
PO373426,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,MUSICAL EQUIPMENT 70,$14085.00,09/20/2011,WASHINGTON MUSIC CENTER,11151 VEIRS MILL ROAD  ; WHEATON  ; MD  ; 20902,WHEATON  ,MD
PO373448,DEPART OF YOUTH REHABILITATION SERVICES,"WASHERS AND DRYERS, RESIDENTIAL TYPE 94",$4972.80,09/20/2011,"LAUNDRY EQUIPMENT SERVICES, IN",3280 MAUZY ROAD  ; BERKELEY SPRINGS  ; WV  ; 25411,BERKELEY SPRINGS  ,WV
PO349667-V3,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$9661.95,09/20/2011,GEORGETWN UNIV LOMBARDI CANCER,650 PENN. AVE SE STE 230   ; WASHINGTON  ; DC  ; 22201-,WASHINGTON  ,DC
PO373171-V2,DEPARTMENT ON DISABILITY SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$61363.08,09/20/2011,GEORGETWN UNIV LOMBARDI CANCER,650 PENN. AVE SE STE 230   ; WASHINGTON  ; DC  ; 22201-,WASHINGTON  ,DC
PO373419,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$39033.29,09/20/2011,AZURE LLC,6930 CARROLL AVENUE SUITE 505  ; TAKOMA PARK  ; MD  ; 20912-,TAKOMA PARK  ,MD
PO352689-V3,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$810777.14,09/20/2011,PROSPERITY MEDIA ENTERPRISE,"INC.                                               1623 ROXANNA ROAD, NW  ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO350619-V3,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TUTORING 80,$21000.00,09/20/2011,CONSOLIDATED EDUCATION RESOURC,9204 CHRUCH STREET STE. 101  ; MANASSAS  ; VA  ; 20110,MANASSAS  ,VA
PO372865,DEPARTMENT ON DISABILITY SERVICES,EMPLOYMENT GENERATING ACTIVITIES 39,$5000.00,09/20/2011,NATIONAL CHILDRENS CENTER,"6200  2ND STREET, N.W.   ; WASHINGTON  ; DC  ; 20011-",WASHINGTON  ,DC
PO373472,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$3221.02,09/20/2011,BAKER & TAYLOR INC,2550 W. TAYVOLA ROAD                               SUITE 300  ; CHARLOTTE  ; NC  ; 28217,CHARLOTTE  ,NC
PO373414,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$3166.72,09/20/2011,"DELTA EDUCATION, INC.",80 NORTHWEST BOULEVARD  ; NASHUA  ; NH  ; 03063,NASHUA  ,NH
PO358275-V5,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$3432369.62,09/20/2011,NORTHERN VIRGINIA REGIONAL COM,3060 WILLIAMS DRIVE                                SUITE 510  ; FAIRFAX  ; VA  ; 22031,FAIRFAX  ,VA
PO370809,DEPARTMENT OF MENTAL HEALTH,"PROJECTION DEVICES AND ACCESSORIES: INTERACTIVE CONFERENCING BOARDS, LCD, PADS, PANELS, ETC. 75",$4175.00,09/20/2011,ROBERT SLYE ELECTRONICS  INC,3415 WASHINGTON BLVD  ; ARLINGTON  ; VA  ; 22201,ARLINGTON  ,VA
PO373413,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$4000.00,09/20/2011,THE KENNEDY CENTER,"2700 F STREET, NW  ; WASHINGTON  ; DC  ; 20566-0001",WASHINGTON  ,DC
PO373445,DEPART OF YOUTH REHABILITATION SERVICES,"TELEVISION RECEIVERS, WIDE SCREEN, PROJECTION TYPE 62",$9512.00,09/20/2011,PAULETTE WASHINGTON,1426 9TH STREET NW 4TH FLOOR  ; WASHINGTON   ; DC  ; 20001,WASHINGTON   ,DC
PO373457,DEPARTMENT OF TRANSPORTATION,TRANSPORTATION CONSULTING 96,$280212.14,09/20/2011,"ATCS, PLC",45195 BUSINESS COURT SUITE 100  ; DULLES  ; VA  ; 20166,DULLES  ,VA
PO359180-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$63631.00,09/20/2011,HOWARD UNIVERSITY THE LEARNING ACADEMY,"2400 6TH STREET, NW SUITE 115  ; WASHINGTON  ; DC  ; 20059-",WASHINGTON  ,DC
PO346191-V3,EQUIPMENT LEASE - CAPITAL,COMPUTER NETWORK CONSULTING 30,$116938.13,09/20/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO345574-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$117057.60,09/20/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO373441,FIRE AND EMERGENCY MEDICAL SERVICES,"CALCULATORS, ELECTRONIC, PRINTING TYPE, PROGRAMMABLE 22",$17374.17,09/20/2011,METROPOLITAN OFFICE PRODUCTS,910 BARNABY ST SE # 201  ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO373389,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$7597.00,09/20/2011,COMMUNITY CONNECTIONS,"801 PENNSYLVANIA AVE., SE                          SUITE 201  ; WASHINGTON  ; DC  ; 20003",WASHINGTON  ,DC
PO373353,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$18764.00,09/20/2011,COMMUNITY CONNECTIONS,"801 PENNSYLVANIA AVE., SE                          SUITE 201  ; WASHINGTON  ; DC  ; 20003",WASHINGTON  ,DC
PO359173-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$82967.50,09/20/2011,BUILDING FUTURES & FAMILY AIDS,1440 MERIDIAN PL. NW  ; WASHINGTON  ; DC  ; 20010,WASHINGTON  ,DC
PO359175-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$56033.96,09/20/2011,"CARL VOGEL FOUNDATION,INC","DBA CARL VOGEL FOUNDATION,INC 1012 14TH STREET NW SUITE 700  ; WASHINGTON  ; DC  ; 20005-",WASHINGTON  ,DC
PO373430,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$81536.10,09/20/2011,LIVING CLASSROOMS,401 M STREET SW  ; WASHINGTON  ; DC  ; 20024,WASHINGTON  ,DC
PO358301-V4,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$4445444.49,09/20/2011,PG COUNTY HLTHDEPARTMENT,1701 MCCORMICK  ; LARGO  ; MD  ; 20774,LARGO  ,MD
PO359172-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$142524.24,09/20/2011,ANDROMEDA TRANSCULTURAL,"1400 DECATUR STREET, NW  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO359177-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$123517.60,09/20/2011,DC CARE CONSORTIUM,"& EDUCATION CONSORTIUM 1112 16TH ST NW, STE400  ; WASHINGTON  ; DC  ; 20036-",WASHINGTON  ,DC
PO344734-V2,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$561707.00,09/20/2011,DC CARE CONSORTIUM,"& EDUCATION CONSORTIUM 1112 16TH ST NW, STE400  ; WASHINGTON  ; DC  ; 20036-",WASHINGTON  ,DC
PO373359,DC PUBLIC LIBRARY,CARPENTRY 27,$2945.00,09/20/2011,COLUMBIA WOODWORKING,935 BRENTWOOD RD NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO373399,COUNCIL OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$10000.00,09/20/2011,"STINSON MORRISON HECKLER,LLP","1201 WALNUT STREET, STE 2900   ; KANSAS CITY  ; MO  ; 64106-",KANSAS CITY  ,MO
PO359178-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$175817.98,09/20/2011,FAMILY MEDICAL COUNSELING,"2041 MLK JR AVE, S.E. SUITE# 303  ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO373499,OFFICE OF ADMINISTRATIVE HEARINGS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$25000.00,09/20/2011,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO373418,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,BLIND TEACHING AND TRAINING EQUIPMENT AND SUPPLIES (SEE CLASS 600 FOR BRAILLE WRITERS AND PRINTERS) 17,$4418.70,09/20/2011,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO373357,COUNCIL OF THE DISTRICT OF COLUMBIA,"MULTI-FUNCTION OFFICE MACHINES (COMBINATION OF FAX-COPIER-SCANNER-PRINTER, ETC.) 72",$2890.00,09/20/2011,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO373398,COUNCIL OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$2552.00,09/20/2011,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO373460,COUNCIL OF THE DISTRICT OF COLUMBIA,"REPLACEMENT AND COMPONENT PARTS: CAPACITORS, CHOKES, COILS, PANEL METERS, POTENTIOMETERS, RELAYS, RESISTORS, SOLENOIDS, TRANSISTORS, TRANSFORMERS, ETC. 66",$4052.59,09/20/2011,LASER ART INC,2209 CHANNING STREET NE PO BOX 41083  ; WASHINGTON  ; DC  ; 20018-0483,WASHINGTON  ,DC
PO359183-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$77586.60,09/20/2011,"RAP, INC.",1949 4TH ST. NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO373349,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$131854.00,09/20/2011,FM-ATLANTIC LLC,700 12TH STREET NW SUITE 700  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO373479,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,REFRIGERATORS AND FREEZERS 66,$5595.00,09/20/2011,CURTIS EQUIPMENT INC.,2121 WISCONSIN AVE  NW                             SUITE C2  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO373478,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"WASHERS AND DRYERS, RESIDENTIAL TYPE 94",$5950.00,09/20/2011,CURTIS EQUIPMENT INC.,2121 WISCONSIN AVE  NW                             SUITE C2  ; WASHINGTON  ; DC  ; 20016,WASHINGTON  ,DC
PO359189-V3,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$178152.80,09/20/2011,"WHITMAN WALKER CLINIC, INC.","%D.BLANCHON,CHIEF EX.OFCR                          1407 S STREET NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO350178-V2,EQUIPMENT LEASE - CAPITAL,"TRUCKS, FIRE PROTECTION AND CRASH RESCUE 57",$264642.00,09/21/2011,PIERCE MANUFACTURING,2600 AMERICAN DRIVE  ; APPLETON  ; WI  ; 54913,APPLETON  ,WI
PO373601,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,AUDIO-VISUAL EQUIPMENT MAINTENANCE AND REPAIR 06,$13760.30,09/21/2011,"SOLUTION TREE, INC.",555 N MORTON ST   ; BLOOMINGTON  ; IN  ; 47404-,BLOOMINGTON  ,IN
PO373573,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$4390.00,09/21/2011,"HI-TECH SOLUTION, INC.","1300 PENNSYLANIA AVE, NW                           SUITE 700  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO373618,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$13190.55,09/21/2011,"CDW GOVERNMENT, INC.",230 N MILWAUKEE AVE   ; VERNON HILLS  ; IL  ; 60061-,VERNON HILLS  ,IL
