PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO319479,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$6700.00,01/04/2010,KET ENTERPRISE DIVISION,560 COOPER DRIVE  ; LEXINGTON  ; KY  ; 40502-2200,LEXINGTON  ,KY
PO336666,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,$28490.18,08/04/2010,LATIN AMERICAN YOUTH CENTER,1419 COLUMBIA ROAD NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO336670,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,$125236.75,08/04/2010,LATIN AMERICAN YOUTH CENTER,1419 COLUMBIA ROAD NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO311809-V3,DEPART OF YOUTH REHABILITATION SERVICES,EDUCATION AND TRAINING CONSULTING 38,$2398648.74,08/04/2010,SEE FOREVER FOUNDATION,"1436 U STREET, NW, STE 203   ; WASHINGTON  ; DC  ; 20009-",WASHINGTON  ,DC
PO336679,DEPARTMENT OF HUMAN SERVICES,"POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57",$157965.00,08/04/2010,UNITED STATES POSTAL SERVICE,2833 ALABAMA AVE. SE P.O.BOX 31158  ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO336574,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$11000.00,08/04/2010,"HORD COPLAN MACHT, INC.",750 E. PRATT STREET SUITE 1100  ; BALTIMORE  ; MD  ; 21202,BALTIMORE  ,MD
PO336617,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$11400.00,08/04/2010,SANZ SCHOOL INC,1720 EYE STREET NW LOWER LEVEL  ; WASHINGTON  ; DC  ; 20006,WASHINGTON  ,DC
PO336632,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$200000.00,08/04/2010,"RAP, INC.",1949 4TH ST. NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO336607,FIRE AND EMERGENCY MEDICAL SERVICES,"COATINGS, PROTECTIVE (FOR MASONRY INCLUDING CONCRETE FLOOR) 30",$21500.00,08/04/2010,"FLOOR COATINGS ETC, INC.",110 J & M DRIVE  ; NEW CASTLE  ; DE  ; 19720,NEW CASTLE  ,DE
PO336675,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,$16152.36,08/04/2010,ASSOC FOR RENEWAL IN EDUCATION,45 P STREET NW  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO336628,DEPARTMENT OF REAL ESTATE SERVICES,RELOCATION SERVICES FOR PERSONNEL 63,$23210.26,08/04/2010,CONFIGURATION INC,3015 V STREET NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO336619,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$8000.00,08/04/2010,GLOBAL RESOURCE SERVICE INC,9320 ANNAPOLIS ROAD SUITE 320D  ; LANHAM    ; MD  ; 20706,LANHAM    ,MD
PO336562,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PERIPHERALS, MISCELLANEOUS: GRAPHIC DIGITIZERS, JOY STICKS, LIGHT PENS, MICE, PEN PADS, TRACKBALLS, ETC. 66",$6413.83,08/04/2010,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO310351-V3,DEPARTMENT OF MENTAL HEALTH,TELECOMMUNICATIONS CONSULTING 95,$318001.00,08/04/2010,"VERIZON FEDERAL, INC","2055 L STREET, N.W.   ; WASHINGTON  ; DC  ; 20036-",WASHINGTON  ,DC
PO336608,DC PUBLIC LIBRARY,"BUILDING CLEANING, EXTERIOR 03",$37850.00,08/04/2010,R&R JANITORIAL PAINTING,1931 15TH STREET NW   ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO323421-V2,DEPARTMENT OF REAL ESTATE SERVICES,"ELEVATOR INSTALLATION, MAINTENANCE AND REPAIR 13",$270942.06,08/04/2010,KEYSTONE PLUS CONSTRUCTION COR,"1600 K STREET, N.W. SUITE 350  ; WASHINGTON  ; DC  ; 20006-",WASHINGTON  ,DC
PO336615,DEPARTMENT OF HEALTH,MEDICAL BOOKS AND PUBLICATIONS 48,$6787.50,08/04/2010,PUBLIC HEALTH FOUNDATION,1220 L STREET NW                                   SUITE 350  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO336677,DEPARTMENT OF TRANSPORTATION,EDUCATION AND TRAINING CONSULTING 38,$9465.00,08/04/2010,PICNICS BY GERALD,600 JONES ROAD   ; SEVERN  ; MD  ; 21144-,SEVERN  ,MD
PO336680,OFFICE OF THE CHIEF MEDICAL EXAMINER,"REMOVAL OF WOOD, WOOD CHIPS, BARK, ETC. 68",$3000.00,08/04/2010,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO336563,FIRE AND EMERGENCY MEDICAL SERVICES,"WALL PANELS, MODULAR, INSULATED 91",$15876.42,08/04/2010,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO336263-V2,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,WASTE MANAGEMENT SERVICES 96,$16120.00,08/04/2010,"COMPLETE SOLUTIONS, LLC",5206 D STREET SE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO318395-V4,DEPARTMENT OF PARKS AND RECREATION,,$174960.50,08/04/2010,RSC ELECTRICAL & MECHANICAL CO,6035 DIX STREET NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO311724-V2,DEPARTMENT OF REAL ESTATE SERVICES,,$493700.00,08/04/2010,RSC ELECTRICAL & MECHANICAL CO,6035 DIX STREET NE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO336676,DEPARTMENT OF HUMAN SERVICES,"DISPLAY, EXHIBIT, AND PROMOTIONAL MATERIALS 30",$12600.00,08/04/2010,THOMAS E. HENDERSON DBA LT PRINTING AND PROMOTION,L/T PRINTING COMPANY                               9 GRANT CIRCLE NW.  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO336609,METROPOLITAN POLICE DEPARTMENT,AMUSEMENT AND ENTERTAINMENT SERVICES (INCL. PERFORMING ARTS PROFESSIONALS) 05,$3407.75,08/04/2010,HERSHEY PARK AMUSEMENT PARK,100 WEST HERSHEY PARK DRIVE  ; HERSHEY  ; PA  ; 17033,HERSHEY  ,PA
PO336642,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMMUNICATION BOARDS: FAX, MODEM (INTERNAL), ETC. 19",$5387.00,08/04/2010,SIGNATURE TECHNOLOGY SOLUTIONS,1875 I ST NW FIFTH FLOOR  ; WASHINGTON  ; DC  ; 20006-,WASHINGTON  ,DC
PO336569,DEPARTMENT OF MENTAL HEALTH,"PLUMBING MAINTENANCE AND REPAIR (INCLUDES TOILETS, ETC.) 60",$28608.00,08/04/2010,"SALMON+SCOTT, LLC","10104 SENATE DRIVE, SUITE 236  ; LANHAM  ; MD  ; 20706",LANHAM  ,MD
PO334842-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$4800.00,08/04/2010,"BEHIND THE SCENES EVENTS, LLC","1725 I STREET, NW SUITE 200  ; WASHINGTON  ; DC  ; 20006",WASHINGTON  ,DC
PO336613,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$21240.00,08/04/2010,CHILDREN'S LITERACY INITIATIVE,2314 MARKET ST                                     3RD FLOOR  ; PHILADELPHIA  ; PA  ; 19103,PHILADELPHIA  ,PA
PO336559,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"TESTS, ANSWER SHEETS, SCORING KEYS, ETC. (FOR EDP SYSTEMS) 80",$2691.00,08/04/2010,AMERICAN RED CROSS,OF THE SUSQUEHANNA VALLEY                          430 W. ORANGE STREET  ; LANCASTER  ; PA  ; 17603,LANCASTER  ,PA
PO336551,FIRE AND EMERGENCY MEDICAL SERVICES,"PERIPHERALS, MISCELLANEOUS: JOY STICKS, GRAPHIC DIGITIZERS, LIGHT PENS, MICE, PEN PADS, TRACKBALLS, ETC. 68",$24163.80,08/04/2010,"SUPRETECH, INC.","7600 GEORGIA AVENUE, NW #LL  ; WASHINGTON  ; DC  ; 20012-",WASHINGTON  ,DC
PO336669,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,$16447.22,08/04/2010,HENKELS AND MCCOY TRAINING SERVICES,450 DAVID DRIVE  ; PLYMOUTH MEETING  ; PA  ; 19462,PLYMOUTH MEETING  ,PA
PO336634,DEPARTMENT OF EMPLOYMENT SERVICES,"BAGS, PADDED: BOOK MAILING, SHIPPING, ETC. 10",$31500.00,08/04/2010,RR DONNELLY,111 SOUTH WACKER DRIVE   ; CHICAGO  ; IL  ; 60606-,CHICAGO  ,IL
PO316389-V2,UNIVERSITY OF THE DISTRICT OF COLUMBIA,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$10985.00,08/04/2010,"FITZDRAKE SEARCH, INC",47293 MIDDLE BLUFF PL  ; STERLING  ; VA  ; 20165,STERLING  ,VA
PO336635,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"UNIFORMS, BLENDED FABRIC 85",$8068.00,08/04/2010,"GAMEWEAR TEAM SPORTS, INC",9960 NW 116TH WAY STE 8  ; MEDLEY  ; FL  ; 33178,MEDLEY  ,FL
PO336612,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$15842.50,08/04/2010,"MARVEL GROUP INC, THE",3843 W. 43RD STREET    ; CHICAGO  ; IL  ; 60632-,CHICAGO  ,IL
PO320247-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COPY MACHINE MAINTENANCE AND REPAIR 27,$57769.00,08/04/2010,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO317398-V2,OFFICE OF FINANCE & RESOURCE MGMT,COPY MACHINE MAINTENANCE AND REPAIR 27,$29622.16,08/04/2010,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO336277,CHILD AND FAMILY SERVICES,SOFTWARE MAINTENANCE/SUPPORT 45,$345526.00,08/04/2010,DELOITTE CONSULTING,4022 SELLS DRIVE  ; HERMITAGE  ; TN  ; 37076,HERMITAGE  ,TN
PO336673,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,$34718.00,08/04/2010,COVENANT HOUSE WASHINGTON,2001 MISSISSIPPI AVENUE SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO336756,DISTRICT DEPARTMENT OF THE ENVIRONMENT,ENERGY CONSERVATION CONSULTING 41,$179760.00,08/05/2010,"ACCESS GREEN, LLC","1341 H STREET, NE SUITE 201C  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO336744,DEPARTMENT OF HEALTH,"WIRE AND CABLE, ELECTRONIC: AUDIO, COAXIAL, HOOK-UP, LEAD-IN, ETC. 96",$2918.40,08/05/2010,SYNERGETIC INFORMATION SYSTEMS,2325 DULLES CORNER BOULEVARD SUITE 500  ; HERNDON  ; VA  ; 20171,HERNDON  ,VA
PO336683,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$47250.00,08/05/2010,TAX CREDIT ASSET MANAGEMENT,"186 LINCOLN STREET, 9TH FLOOR  ; BOSTON  ; MA  ; 02111-2408",BOSTON  ,MA
PO336753,DEPARTMENT OF EMPLOYMENT SERVICES,PURCHASING SOFTWARE 71,$4094.30,08/05/2010,"HI-TECH SOLUTION, INC.","1300 PENNSYLANIA AVE, NW                           SUITE 700  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO310716-V2,DEPART OF YOUTH REHABILITATION SERVICES,"LEGAL SERVICES, ATTORNEYS 49",$5616.00,08/05/2010,ELLEN S. SALTZMAN,3385 PIPERFIFE COURT   ; KESWICK  ; VA  ; 22947-,KESWICK  ,VA
PO336721,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$11297.00,08/05/2010,CAREER TECHNICAL INSTITUTE INC,"2131 K ST NW, 7TH FLOOR   ; WASHINGTON  ; DC  ; 20037-",WASHINGTON  ,DC
PO313196-V5,METROPOLITAN POLICE DEPARTMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$43800.00,08/05/2010,DANIEL BARRETT,838 NEVILLE STREET  ; TOMS RIVER  ; NJ  ; 08753,TOMS RIVER  ,NJ
PO336763,DEPARTMENT OF REAL ESTATE SERVICES,"APPRAISAL SERVICES, REAL ESTATE 15",$15000.00,08/05/2010,THE WALKER GROUP LLC,1209 CRITTENDEN ST NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO313507-V6,METROPOLITAN POLICE DEPARTMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$62400.00,08/05/2010,ROBERT S. FREESE,33A STYMUS AVENUE  ; BETHPAGE  ; NY  ; 11714,BETHPAGE  ,NY
PO336731,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$6000.00,08/05/2010,GUERILLA ARTS INC.,"2825 7TH STREET, NE   ; WASHINGTON  ; DC  ; 20017-",WASHINGTON  ,DC
PO318635-V2,OFFICE OF CHIEF FINANCIAL OFFICER,ELECTRONIC INFORMATION AND MAILING SERVICES 28,$5512.93,08/05/2010,MOORE WALLACE INC,1200 LAKESIDE DRIVE   ; BANNOCKBURN  ; IL  ; 60015-,BANNOCKBURN  ,IL
PO310387-V4,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$69300.00,08/05/2010,"CARTER, JENNIFER L.",12476 WALNUT COVE CIRCLE  ; GERMANTOWN  ; MD  ; 20874,GERMANTOWN  ,MD
PO336747,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,JANITORIAL EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 65,$60000.00,08/05/2010,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO336787,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$255000.00,08/05/2010,THE FUTURES HEALTH GROUP,136 WILLIAM STREET   ; SPRINGFIELD  ; MA  ; 01105-,SPRINGFIELD  ,MA
PO320612-V3,DEPARTMENT OF HEALTH,MEDICAL CONSULTING 78,$144300.00,08/05/2010,MCMC LLC,88 BLACK FALCON AVE                                SUITE 353  ; BOSTON  ; MA  ; 02210,BOSTON  ,MA
PO323469-V3,DEPARTMENT OF HEALTH,"TRANSPORTATION SERVICES FOR THE ELDERLY, HANDICAPPED, INCAPACITATED, PRISONERS, JURIES, ETC. 94",$4500.00,08/05/2010,LIFESTAR RESPONSE OF MD INC.,3710 COMMERCE DRIVE                                SUITE# 1006  ; BALTIMORE  ; MD  ; 21227,BALTIMORE  ,MD
PO313503-V5,METROPOLITAN POLICE DEPARTMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$66675.00,08/05/2010,CARL M. RONE,6302 SHERWOOD ROAD  ; PHILADELPHIA  ; PA  ; 19151,PHILADELPHIA  ,PA
PO336741,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$180000.00,08/05/2010,CARBON CROSS DEVELOPMENT LLC,"DBA ECOHOUSE 1425 4TH STREET SW,STE # A109  ; WASHINGTON  ; DC  ; 20024",WASHINGTON  ,DC
PO336778,DEPART OF YOUTH REHABILITATION SERVICES,FLOORING MAINTENANCE AND REPAIR TO INCLUDE REFINISHING AND SEALING 25,$33160.00,08/05/2010,EPOXY COATINGS SPECIALTIES INC,2314 WALNUT SPRINGS COURT  ; WHITE HALL  ; MD  ; 21161,WHITE HALL  ,MD
PO336692,DEPART OF YOUTH REHABILITATION SERVICES,"DRIVES, TAPE 37",$9960.87,08/05/2010,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO313694-V2,OFFICE OF THE CHIEF MEDICAL EXAMINER,LABORATORY EQUIPMENT 57,$12000.00,08/05/2010,CERILLIANT CORPORATION,811 PALOMA DRIVE SUITE A  ; ROUND ROCK  ; TX  ; 78665-,ROUND ROCK  ,TX
PO336775,OFFICE OF CHIEF FINANCIAL OFFICER,MEMBERSHIP DUES 48,$3500.00,08/05/2010,NATIONAL ASSOCIATION OF STATE,449 LEWIS HARGETT CIRCLE SUITE 290  ; LEXINGTON  ; KY  ; 40503-,LEXINGTON  ,KY
PO311796-V2,DEPARTMENT OF MENTAL HEALTH,EDUCATION AND TRAINING CONSULTING 38,$4400.00,08/05/2010,MONICA SMITH,3217 HENSON ROAD SE   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO336688,OFFICE OF THE INSPECTOR GENERAL,"BADGES AND EMBLEMS, METAL: CAP, GAME WARDENS', OFFICERS', SERVICE AWARDS, UNIFORM, ETC. 15",$3415.10,08/05/2010,"SYMBOLARTS, LLC",6083 SOUTH 1550 EAST  ; SOUTH OGDEN  ; UT  ; 84405-5006,SOUTH OGDEN  ,UT
PO336738,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,JANITORIAL/CUSTODIAL SERVICES 39,$200000.00,08/05/2010,"MANSTAL SERVICES, INC.",3715 MARTIN LUTHER KING JR AVE SE  ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO336701,DEPARTMENT OF MENTAL HEALTH,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$18797.85,08/05/2010,PREMIER OFFICE & MEDICAL SUPPL,1020 49TH STREET NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO336498,UNIVERSITY OF THE DISTRICT OF COLUMBIA,EDUCATIONAL RESEARCH SERVICES 19,$3366.00,08/05/2010,APPLE COMPUTER INC,1 INFINITE LOOP   ; CUPERTINO  ; CA  ; 95014-,CUPERTINO  ,CA
PO310357-V2,OFFICE OF MUNICIPAL PLANNING,HISTORICAL PRESERVATION 48,$14334.95,08/05/2010,KIMBERLY P. WILLIAMS,9116 LEVELL DRIVE  ; CHEVY CHASE  ; MD  ; 20815,CHEVY CHASE  ,MD
PO329826-V2,OFFICE OF CHIEF FINANCIAL OFFICER,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$3288.29,08/05/2010,"ROBERT HALF INTERNATIONAL, INC",5720 STONERIDGE DRIVE   ; PLEASANTON  ; CA  ; 94588-,PLEASANTON  ,CA
PO336685,DISTRICT DEPARTMENT OF THE ENVIRONMENT,ENVIRONMENTAL SERVICES (NOT OTHERWISE CLASSIFIED) 42,$40000.00,08/05/2010,METROPOLITAN WASH COUNCIL,"MWCOG 777 NORTH CAPITOL ST NE,#300  ; WASHINGTON  ; DC  ; 20002-4290",WASHINGTON  ,DC
PO336686,DISTRICT DEPARTMENT OF THE ENVIRONMENT,ENVIRONMENTAL SERVICES (NOT OTHERWISE CLASSIFIED) 42,$43000.00,08/05/2010,METROPOLITAN WASH COUNCIL,"MWCOG 777 NORTH CAPITOL ST NE,#300  ; WASHINGTON  ; DC  ; 20002-4290",WASHINGTON  ,DC
PO336759,OFFICE OF CHIEF TECHNOLOGY OFFICER,"CARD HOLDERS, ALL TYPES (SEE CLASS 578 FOR METAL) 25",$5664.21,08/05/2010,SYMBOLOGY DC LLC,1500 MASS AVE NW SUITE 815  ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO336750,"DEPART OF INSURANCE,SECURITIES & BANKING","NETWORKING SERVICES (INCLUDING INSTALLATION, SECURITY, AND MAINTENANCE ) 37",$11457.00,08/05/2010,EDAC SYSTEMS INC,10970 PERSN DRIVE  ; FREDERICKSBURG  ; VA  ; 22408,FREDERICKSBURG  ,VA
PO336781,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"CAMERAS, STILL, SPECIALIZED (INCLUDING COMPLETE SYSTEMS FOR MEDICAL AND DENTAL PHOTOGRAPHY, PHOTOMICROGRAPHY, ETC.) 39",$3563.00,08/05/2010,"PENN CAMERA EXCHANGE, INC",7040 VIRGINIA MANOR ROAD   ; BELTSVILLE  ; MD  ; 20705-,BELTSVILLE  ,MD
PO336730,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$5000.00,08/05/2010,MA. WILHELMINA B. CONSUL,502 47TH ST. N.E.  ; WASHINGTON  ; DC  ; 20019-0019,WASHINGTON  ,DC
PO336729,DEPARTMENT OF EMPLOYMENT SERVICES,"HEATING, VENTILATING AND AIR CONDITIONING (HVAC) 50",$6463.45,08/05/2010,"HEATING,PIPING & REFRIGERATION",8421 ARDWIC ARDMORE RD.  ; LANDOVER  ; MD  ; 20785,LANDOVER  ,MD
PO311710-V2,DEPART OF YOUTH REHABILITATION SERVICES,"LEGAL SERVICES, ATTORNEYS 49",$4703.80,08/05/2010,"JEROME H. ROSS, LTD.",6621 WEATHERFORD COURT   ; MCCLEAN  ; VA  ; 22101-,MCCLEAN  ,VA
PO336737,METROPOLITAN POLICE DEPARTMENT,CLINICAL FORENSIC AND POSTMORTEM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 16,$21527.00,08/05/2010,"THE BODE TECHNOLOGY GROUP, INC.",10430 FURNACE ROAD  SUITE 107  ; LORTON  ; VA  ; 22079-,LORTON  ,VA
PO336727,OFF OF PARTNERSHIP AND GRANT SERVICES,COMPUTER SOFTWARE CONSULTING 29,$10000.00,08/05/2010,LCB CONSULTING LLC,15 GERARD ST NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO327023-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$63932.00,08/05/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO316391-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER NETWORK CONSULTING 30,$27158.28,08/05/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO336752,DEPARTMENT OF HUMAN SERVICES,"VOCATIONAL TRAINING, ALL TYPES  (INCLUDING VOCATIONAL REHABILITATION AND TECHNICAL EDUCATION) 86",$2000000.00,08/05/2010,DISTRICT OF COLUMBIA AGENCIES,"CHILD SUPPORT ENFORCEMENT DIV. 441 4TH STREET, NW  SUITE 550N  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO311177-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER NETWORK CONSULTING 30,$118354.80,08/05/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO324221-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER NETWORK CONSULTING 30,$4794.24,08/05/2010,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO336720,DEPARTMENT OF EMPLOYMENT SERVICES,HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59,$4000.00,08/05/2010,DYARAN SANDILA DBA/3 SOFT USA,301 MAPLE AVENUE WEST  SUITE 130  ; VIENNA   ; VA  ; 22180-,VIENNA   ,VA
PO336726,DEPARTMENT OF PARKS AND RECREATION,"CHEMICALS AND SUPPLIES, DRY (FOR BOND PAPER TYPE COPYING MACHINES) 15",$5763.00,08/05/2010,METROPOLITAN OFFICE PRODUCTS,910 BARNABY ST SE # 201  ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO336684,DISTRICT DEPARTMENT OF THE ENVIRONMENT,GEOLOGICAL CONSULTING AND STUDY 55,$100000.00,08/05/2010,US GEOLOGICAL SURVEY,12201 SUNRISE VALLEY DRIVE  ; RESTON  ; VA  ; 20192,RESTON  ,VA
PO336765,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$228000.00,08/05/2010,GEORGE WASHINGTON UNIVERSITY -,801 22ND STREET NW ROSS HALL #100  ; WASHINGTON  ; DC  ; 20052-,WASHINGTON  ,DC
PO336728,COMMISSION ON ARTS & HUMANITIES,ADVERTISING/PUBLIC RELATIONS 03,$3770.00,08/05/2010,WASHINGTON CITY PAPER,2390 CHAMPLAIN STREET NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO336774,CHILD AND FAMILY SERVICES,"EDUCATIONAL SERVICES, ALTERNATIVE 18",$9000.00,08/05/2010,U.S. DEPARTMENT OF EDUCATION,NATIONAL PAYMENT CENTER                            POST OFFICE BOX 4142  ; GREENVILLE  ; TX  ; 75403-4142,GREENVILLE  ,TX
PO336772,CHILD AND FAMILY SERVICES,"EDUCATIONAL SERVICES, ALTERNATIVE 18",$9000.00,08/05/2010,U.S. DEPARTMENT OF EDUCATION,NATIONAL PAYMENT CENTER                            POST OFFICE BOX 4142  ; GREENVILLE  ; TX  ; 75403-4142,GREENVILLE  ,TX
PO336773,CHILD AND FAMILY SERVICES,"EDUCATIONAL SERVICES, ALTERNATIVE 18",$9000.00,08/05/2010,U.S. DEPARTMENT OF EDUCATION,NATIONAL PAYMENT CENTER                            POST OFFICE BOX 4142  ; GREENVILLE  ; TX  ; 75403-4142,GREENVILLE  ,TX
PO310827-V2,DEPARTMENT OF PUBLIC WORKS,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$3923.70,08/05/2010,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
