PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO246222,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$28099.00,01/02/2008,GPS NORTH AMERICA,40 STEEPLECHASE DRIVE  ; HOLLAN  ; PA  ; 18966,HOLLAN  ,PA
PO268077,OFFICE OF MUNICIPAL PLANNING,HISTORICAL STUDIES AND SERVICES 30,$17868.20,08/19/2008,ROSIE M. HYDE,"1312 W STREET, SE  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO232056-V3,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$190000.00,08/19/2008,"NEW LIGHT TECHNOLOGIES, INC.",7412 ALASKA AVENUE NW   ; WASHINGTON  ; DC  ; 20012-,WASHINGTON  ,DC
PO258962-V3,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$48020.00,08/19/2008,"NEW LIGHT TECHNOLOGIES, INC.",7412 ALASKA AVENUE NW   ; WASHINGTON  ; DC  ; 20012-,WASHINGTON  ,DC
PO265396-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$36828.00,08/19/2008,PROFESSIONAL MGMT CONSULTING,"700 12TH ST., NW                                   SUITE 700  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO268026,DEPARTMENT OF MENTAL HEALTH,MEDICAL EQUIPMENT TESTING AND CALIBRATION SERVICES (NOT X-RAY) 53,$9920.00,08/19/2008,CLAFLIN EQUIPMENT SALES & SVC,451 WARWICK INDUSTRIAL DIRVE  ; WARWICK  ; RI  ; 02887,WARWICK  ,RI
PO268057,DEPARTMENT OF HUMAN SERVICES,EMERGENCY FOOD 36,$7000.00,08/19/2008,SAFEWAY INC,4551 FORBES BLVD.  ; LANHAM  ; MD  ; 20706-9065,LANHAM  ,MD
PO268058,DEPARTMENT OF HEALTH,"MISCELLANEOUS SERVICES, NO. 1 00",$10000.00,08/19/2008,"U.S.HEALTH EDUC.NETWORK,INC",700 12 ST NW SUITE 700  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO267349,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$114828.84,08/19/2008,ORACLE CORPORATION,500 ORACLE PARKWAY   ; REDWOOD SHORES  ; CA  ; 94065-,REDWOOD SHORES  ,CA
PO267509,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$154000.00,08/19/2008,OBVERSE CORPORATION INC,6925 WILLOW STREET NW                              SUITE 230  ; WASHINGTON  ; DC  ; 20012,WASHINGTON  ,DC
PO250789-V2,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$218334.00,08/19/2008,UNITED PLANNING ORGANIZATION,"301 RHODE ISLAND AVENUE, NW   ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO268115,COUNCIL OF THE DISTRICT OF COLUMBIA,"CARPET CLEANING MACHINES (FOAM, HOT WATER, STEAM, ETC.), PARTS AND ACCESSORIES 15",$3028.51,08/20/2008,NATIONAL SERVICE CONTRACTORS,"2011 MLK JR. AVE., S.E.  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO250534-V2,OFFICE OF FINANCE & RESOURCE MGMT,"GAS, NATURAL (INCL. COMPRESSED NATURAL GAS (CNG)) 13",$464964.39,08/20/2008,WASHINGTON GAS LIGHT COMPANY,1240 12TH STREET SE  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO268201,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,CONSULTING SERVICES 00,$3187.50,08/20/2008,MICHAEL J. CRESCENZO,2443 39TH STREET NW  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO268278,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ACCOUNTING/FINANCIAL: BOOKKEEPING, BILLING AND INVOICING, BUDGETING, PAYROLL, TAXES, ETC. 10",$49729.00,08/20/2008,INTEGRATION TECHNOLOGIES GROUP,2745 HARTLAND ROAD  ; FALLS CHURCH  ; VA  ; 22043,FALLS CHURCH  ,VA
PO261182-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$154224.00,08/20/2008,DYNAMIC CONCEPTS INC,"1730 17TH STREET, NE   ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO247312-V3,DEPARTMENT OF REAL ESTATE SERVICES,"CONSTRUCTION SERVICES, GENERAL 00",$333385.00,08/20/2008,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300  ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO258960-V4,LOTTERY & CHARITABLE GAMES CONTROL BOARD,"MARKETING SERVICES (INCL. DISTRIBUTION, RESEARCH, SALES PROMOTIONS, ETC.) 53",$56014.74,08/20/2008,CBS OUTDOOR,"1325 MASSACHUSETTS AVENUE, N.W #701  ; WASHINGTON  ; DC  ; 20005-",WASHINGTON  ,DC
PO268245,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"TWO-WAY RADIO, PORTABLE, INCLUDING VEHICLE RADIO RELAY SYSTEMS 74",$99902.00,08/20/2008,TELTRONIC INC,7051 MUIRKIRK MEADOWS DRIVE  ; BELTSVILLE  ; MD  ; 20705,BELTSVILLE  ,MD
PO268139,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$72247.20,08/20/2008,"SCHOLASTIC, INC.",557 BROADWAY 4TH FLOOR  ; NEW YORK  ; NY  ; 10012,NEW YORK  ,NY
PO253734-V3,DEPARTMENT ON DISABILITY SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$59855.00,08/20/2008,"TONYA W. LOCKWOOD, PSY D",WORD OF LIFE DEVELOPMENT CENTE                     10907 POTOMAC ST  ; GLENN DALE  ; MD  ; 20769,GLENN DALE  ,MD
PO268147,DC PUBLIC LIBRARY,"BOOKBINDING, REBINDING, AND REPAIRING 00",$2999.00,08/20/2008,MID ATLANTIC BOOKBINDERY,"500 SOUTHPARK BLVD, P.O. BOX 4  ; 500 SOUTHPARK BLVD,  ; VA  ; 23834","500 SOUTHPARK BLVD,  ",VA
PO268271,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: KINDERGARTEN THRU 5TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 85,$2553.82,08/20/2008,"LECTORUM PUBLICATIONS, INC.",205 CHUBB AVENUE  ; LYNDHURST  ; NJ  ; 07071,LYNDHURST  ,NJ
PO268269,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"PAPER ITEMS, CLASSROOM: COMPOSITION BOOKS, SCRAPBOOKS, EXAMINATION BOOKLETS, NOTEBOOK FILLER, TABLETS, ETC. 76",$2999.12,08/20/2008,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO268289,DEPARTMENT OF TRANSPORTATION,GEOGRAPHIC INFORMATION SYSTEMS (GIS) 54,$10002.89,08/20/2008,ENVIRONMENTAL SYSTEMS RESEARCH,380 NEW YORK STREET  ; REDLANDS  ; CA  ; 92373-8100,REDLANDS  ,CA
PO253735-V2,DEPARTMENT ON DISABILITY SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$36080.00,08/20/2008,"DR. REBECCA J. YOUNT, LLC",104 WATER STREET  ; BROOKEVILLE  ; MD  ; 20833,BROOKEVILLE  ,MD
PO268192,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$6459.00,08/20/2008,DUKE ELLINGTON SCHOOL OF ARTS,"3500 R STREET, NW                                  SUITE 100  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO268172,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$80000.00,08/20/2008,EDUNEERING INC.,32100 SEDCO HEIGHTS DR  ; WILDOMAR  ; CA  ; 92595,WILDOMAR  ,CA
PO267677-V2,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$73703.61,08/20/2008,"INTERIOR DIMENSIONS GROUP, INC","58 FLORIDA AVENUE, NW  ; WASHINGTON  ; DC  ; 20001-0001",WASHINGTON  ,DC
PO238040-V3,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$1123858.48,08/20/2008,GREATER WASHINGTON URBAN LEAGU,"2901 - 14TH STREET, NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO238037-V3,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$14397952.82,08/20/2008,GREATER WASHINGTON URBAN LEAGU,"2901 - 14TH STREET, NW  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO268118,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"SCANNERS, DOCUMENT: HANDHELD, DESKTOP AND HIGH VOLUME 88",$3432.00,08/20/2008,HEWLETT PACKARD COMPANY,10810 FARMAM DRIVE  ; OMAHA  ; NE  ; 68154,OMAHA  ,NE
PO268119,COUNCIL OF THE DISTRICT OF COLUMBIA,"RADIO TELEPHONES (INCLUDING CELLULAR TYPE FOR VEHICLE, MARINE, ETC. USE) 51",$12000.00,08/20/2008,CINGULAR WIRELESS LLC,17330 PRESTON ROAD                                 100 A  ; DALLAS  ; TX  ; 75252,DALLAS  ,TX
PO268150,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$5000.00,08/20/2008,PROVIDENCE HOSPITAL,1150 VARNUM ST NE  ; WASHINGTON  ; DC  ; 20017,WASHINGTON  ,DC
PO268191,LOTTERY & CHARITABLE GAMES CONTROL BOARD,SOFTWARE MAINTENANCE/SUPPORT 45,$10000.00,08/20/2008,"IT PUNDITS, INC",44374 BOXFORD TERRACE  ; ASHBURN  ; VA  ; 20147,ASHBURN  ,VA
PO268231,DEPARTMENT OF PUBLIC WORKS,"OIL AND FLUID, HYDRAULIC 51",$15000.00,08/20/2008,C&E SERVICES INC OF WASH,1224 W STREET SE   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO263738-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RECYCLED JANITORIAL SUPPLIES 76,$325000.00,08/20/2008,ARIE'S SUPPLY INC,3921 SOUTH CAPITOL STREET SW                       SUITE 5  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO239596-V2,DEPARTMENT OF HEALTH,MEDICAL CONSULTING 78,$83000.00,08/20/2008,MCMC LLC,88 BLACK FALCON AVE                                SUITE 353  ; BOSTON  ; MA  ; 02210,BOSTON  ,MA
PO268178,CHILD AND FAMILY SERVICES,REAL PROPERTY RENTAL OR LEASE 00,$39000.00,08/20/2008,SOUTHEASTERN UNIVERSITY,501 I ST. SW                                       ATTN:CFE  ; WASHINGTON  ; DC  ; 20024,WASHINGTON  ,DC
PO268193,DEPARTMENT OF PARKS AND RECREATION,YOUTH CARE SERVICES 95,$12800.00,08/20/2008,DC CHILDREN YOUTH INVESTMENT,1400 16TH STREET NW SUITE 500  ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO268246,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER HARDWARE AND PERIPHERALS FOR MINI AND MAIN FRAME COMPUTERS 00,$367854.35,08/20/2008,"CORE BTS, INC","201 WEST 103RD ST., STE 240  ; INDIANAPOLIS  ; IN  ; 46290",INDIANAPOLIS  ,IN
PO268267,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FINANCE/ECONOMICS CONSULTING 49,$69920.00,08/20/2008,E-RATE ELITE SERVICES INC.,300 RED BROOK BLVD.                                SUITE 202  ; OWINGS MILLS  ; MD  ; 21117,OWINGS MILLS  ,MD
PO259837-V2,OFFICE OF CHIEF FINANCIAL OFFICER,PURCHASING CONSULTING (INCL. SPECIFICATION DEVELOPMENT) 87,$280103.90,08/20/2008,"ACQUISITION SOLUTIONS, INC.",1655 NORTH FORT MYER DRIVE                         SUITE 1000  ; ARLINGTON  ; VA  ; 22209,ARLINGTON  ,VA
PO268230,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PRINTING AND RELATED SERVICES 00,$15418.00,08/20/2008,"BRENTWORKS, INC.",1776 EYE STREET NW 9TH FLOOR  ; WASHINGTON  ; DC  ; 20006,WASHINGTON  ,DC
PO268087,DISTRICT DEPARTMENT OF THE ENVIRONMENT,ENVIRONMENTAL CONSULTING 43,$19038.00,08/20/2008,METRO WASH. COUNCIL OF,GOVERNMENT                                         777 N CAPITAL ST NE STE 300  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO268158,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"CONSTRUCTION SERVICES, GENERAL 00",$11700.00,08/20/2008,"BOCALJE SERVICES, INC.",3215 M. L. K. JR.AVE S.E.   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO268113,FIRE AND EMERGENCY MEDICAL SERVICES,"RESCUE EQUIPMENT, SUPPLIES AND ACCESSORIES INCLUDING RESCUE NETS, POWER EXTRACTORS (JAWS OF LIFE), ROPE AND LIFE HARNESSES, ETC. 72",$7545.00,08/20/2008,THE INFORCER LLC,3408 SANDERLING TRAIL  ; AUSTIN  ; TX  ; 78746-7874,AUSTIN  ,TX
PO268135,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"DESKS AND TABLES, WOOD 21",$10198.90,08/20/2008,NATIONAL BUSINESS FURNITURE,735 NORTH WATER STREET  ; MILWAUKEE  ; WI  ; 53203,MILWAUKEE  ,WI
PO268165,FIRE AND EMERGENCY MEDICAL SERVICES,"FIRE PROTECTION CLOTHING (TURNOUT COATS, BUNKER PANTS, HOODS, GLOVES, ETC.) 34",$28750.00,08/20/2008,MARYLAND FIRE EQPMNT CORPORATI,12284 WILKINS AVENUE  ; ROCKVILLE  ; MD  ; 20852,ROCKVILLE  ,MD
PO255744-V2,DC PUBLIC LIBRARY,"ARCHITECTURAL AND ENGINEERING SERVICES, NON-PROFESSIONAL 00",$61965.14,08/20/2008,"POLSHEK PARTNERSHIP, LLP",320 WEST 13TH STREET  ; NEW YORK  ; NY  ; 10014,NEW YORK  ,NY
PO268110,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"CABINETS, COUNTERS, STANDS, TABLES, ETC. 05",$9853.65,08/20/2008,XZOTECH SIGN & DISPLAY LLC,"FASTSIGNS 480101                                   617 - F RHODE ISLAND AVE, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO268108,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"PEST CONTROL (INCL. TERMITE INSPECTION AND CONTROL, BIRD PROOFING, ANIMAL TRAPPING, RODENT CONTROL, EXTERMINATING AND FUMIGATION) 59",$6531.35,08/20/2008,PEST SERVICES CO.,3812 39TH STREEET  ; BRENTWOOD  ; MD  ; 20722,BRENTWOOD  ,MD
PO268107,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65",$2970.00,08/20/2008,GALLAUDET UNIVERSITY,"800 FLORIDA AVENUE, N.E.  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO268218,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$16328.00,08/20/2008,CORPORATE SYSTEMS RESOURCES,"1200 G STREET, NW SUITE 800   ; WASHINGTON  ; DC  ; 20005-",WASHINGTON  ,DC
PO268228,DEPARTMENT OF CORRECTIONS,FORMS PRINTING (NOT CONTINUOUS) 36,$3042.50,08/20/2008,"NCS PEARSON, INC",5601 GREEN VALLEY DRIVE  ; BLOOMINGTON  ; MN  ; 55437,BLOOMINGTON  ,MN
PO268207,DEPT OF SMALL & LOCAL BUSINESS DEVELOPMT,"MISCELLANEOUS SERVICES, NO. 1 00",$38083.00,08/20/2008,THE AD AGENCY,1010 WISCONSIN AVENUE NW                           SUITE 205  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO268144,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"TRAINING EQUIPMENT AND SUPPLIES, FIRE AND SAFETY 87",$7140.00,08/20/2008,MOORE WALLACE INC,P.O. BOX 905046  ; CHARLOTTE  ; NC  ; 28290,CHARLOTTE  ,NC
PO236765-V3,DEPARTMENT OF HUMAN SERVICES,"COURSE DEVELOPMENT SERVICES, INSTRUCTIONAL/TRAINING 16",$54167.00,08/20/2008,VIETNAMESE-AMERICAN COMMUNITY,2437 15TH STREET NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO268111,COUNCIL OF THE DISTRICT OF COLUMBIA,"ELECTRICAL ACCESSORIES: ALTERNATORS, AMMETERS, COILS, DISTRIBUTORS, GENERATORS, REGULATORS, STARTERS, ETC. 36",$19747.20,08/20/2008,R&R JANITORIAL PAINTING,1931 15TH STREET NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO268243,DEPARTMENT OF TRANSPORTATION,"TRAILERS, FLAT BED 66",$57880.00,08/20/2008,CAROLINA TRAILERS & EQUIPMENT,307 EAST FRONTAGE ROAD  ; CAMPOEELLO  ; SC  ; 29322,CAMPOEELLO  ,SC
PO267090-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"FLOWERS, FRESH 28",$24750.00,08/20/2008,"BOCALJE SERVICES, INC.",3215 M. L. K. JR.AVE S.E.   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO268281,STATE SUPERINTENDENT OF EDUCATION (OSSE),ADVERTISING/PUBLIC RELATIONS 03,$10000.00,08/20/2008,RADIO ONE INC.,5900 PRINCES GARDEN PARKWAY                        SUITE 800  ; LANHAM  ; MD  ; 20706,LANHAM  ,MD
PO268257,DISTRICT DEPARTMENT OF THE ENVIRONMENT,ADVERTISING/PUBLIC RELATIONS 03,$18819.00,08/20/2008,THE WASHINGTON POST,"1150 15TH STREET, NW   ; WASHINGTON  ; DC  ; 20071-",WASHINGTON  ,DC
PO268179,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TRAINING AND RECREATIONAL AIDS FOR THE HANDICAPPED 78,$56850.00,08/20/2008,GALLAUDET UNIVERSITY,"800 FLORIDA AVENUE, N.E.  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO268214,DEPARTMENT OF REAL ESTATE SERVICES,"CONSTRUCTION SERVICES, GENERAL 00",$616050.00,08/20/2008,SPECIALTY CONSTRUCTION MANAGE,"1314 8TH STREET, N.W   ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO268188,DEPARTMENT OF PARKS AND RECREATION,"OFFICE SUPPLIES, GENERAL 00",$5613.24,08/20/2008,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO241421-V2,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,EXAMINATION AND TESTING 20,$53500.00,08/20/2008,LASER GRADE COMPUTER TESTING,16821 SE MCGILLIVRAY BLVD                          SUITE 201A  ; VANCOUVER  ; WA  ; 98684,VANCOUVER  ,WA
PO264755-V2,DEPARTMENT OF MENTAL HEALTH,"OFFICE SUPPLIES, GENERAL 00",$48500.00,08/20/2008,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO268244,STATE SUPERINTENDENT OF EDUCATION (OSSE),"BUSINESS SOFTWARE, MISC.: AGENDA, LABELS, MAIL LIST, PLANNING, SCHEDULING, ETC. 20",$16815.08,08/20/2008,"HI-TECH SOLUTION, INC.","1300 PENNSYLANIA AVE, NW                           SUITE 700  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO268183,DEPARTMENT OF MOTOR VEHICLES,,$42000.00,08/20/2008,US POSTAL SERVICE,STAMP STORE POSTAL SQUARE STA                      #2 MASS AVENUE NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO268286,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$5880.00,08/20/2008,"PROJECT REMEDIES, INC.",2034 PALISADES DRIVE  ; PACIFIC PALISADES  ; CA  ; 90272,PACIFIC PALISADES  ,CA
PO268227,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$4706.40,08/20/2008,"AIRMAGNET, INC.",830 E. ARGUES AVENUE  ; SUNNYVALE  ; CA  ; 94085,SUNNYVALE  ,CA
PO268175,DEPARTMENT OF PARKS AND RECREATION,"JANITORIAL SUPPLIES, GENERAL LINE 00",$4175.50,08/20/2008,DISTRICT SUPPLY,"7705 GEORGIA AVENUE, NW                            SUITE 103  ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO268105,UNIVERSITY OF THE DISTRICT OF COLUMBIA,EDUCATIONAL SERVICES 00,$9000.00,08/20/2008,CSILLA M LUCKETT,420 N ALFRED ST  ; ALEXANDRIA  ; VA  ; 22314,ALEXANDRIA  ,VA
PO267898-V2,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$4949.96,08/20/2008,WASH AREA NETWORK SRV LLC,"1773 LANIER PLACE, NW                              #18  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO268292,OFFICE OF MOTION PICTURES & TELEVISION,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$2801.62,08/20/2008,COMPUTER WORLD SERVICES CORP,666 11TH STREET NW                                 SUITE 625  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO268170,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"LIGHTING FIXTURES, OUTDOOR: FLOODLIGHTS, SPOTLIGHTS, YARD LIGHTS, AND ALL OTHER WEATHERPROOF FIXTURES (EXCEPT STREETLIGHTS) (INCLUDING RECYCLED TYPES) 56",$4481.47,08/20/2008,"BARBIZON CAPITOL, INC",6437 G GENERAL GREENWAY  ; ALEXANDRIA  ; VA  ; 22313,ALEXANDRIA  ,VA
PO208750-V6,DC PUBLIC LIBRARY,"CONSTRUCTION SERVICES, GENERAL 00",$621621.69,08/20/2008,MOLINA CONSTRUCTION INC,1818 NEW YORK AVE NE                               SUITE 227  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO268133,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"GYMNASIUM APPARATUS AND EQUIPMENT: BICYCLE TRAINERS, CLIMBING ROPES, EXERCISER UNITS, GAME STANDARDS, HORIZONTAL, PARALLEL, AND STALL BARS 57",$9067.75,08/20/2008,EMERGENCY 911 SECURITY,"421 H STREET, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO229529-V4,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"OFFICE SUPPLIES, GENERAL 00",$80000.00,08/20/2008,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO268238,DEPARTMENT OF EDUCATION,"COMPUTERS, PARTS AND SUPPLIES 29",$7125.00,08/20/2008,COMPUTER WORLD SERVICES CORP,666 11TH STREET NW                                 SUITE 625  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO268162,DEPARTMENT OF EMPLOYMENT SERVICES,"MISCELLANEOUS SERVICES, NO. 1 00",$36117.00,08/20/2008,ARCH TRAINING CENTER INC,"1227 GOOD HOPE RD., SE   ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO268106,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57",$20000.00,08/20/2008,US POSTAL SERVICE,STAMP STORE POSTAL SQUARE STA                      #2 MASS AVENUE NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO268265,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,NOVELTIES AND ADVERTISING SPECIALTY PRODUCTS 52,$8078.00,08/20/2008,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO256303-V2,METROPOLITAN POLICE DEPARTMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$42000.00,08/20/2008,DANIEL BARRETT,838 NEVILLE STREET  ; TOMS RIVER  ; NJ  ; 08753,TOMS RIVER  ,NJ
PO252777-V2,METROPOLITAN POLICE DEPARTMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$40125.00,08/20/2008,PAUL E. TANGREN,7422 BRAD STREET  ; FALLS CHURCH  ; VA  ; 22042,FALLS CHURCH  ,VA
PO268285,DEPARTMENT OF TRANSPORTATION,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS 00,$4840.00,08/20/2008,ABC TECHNICAL SOLUTIONS INC,1100 H STREET NW                                   SUITE 410  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO264387-V3,OFFICE OF UNIFIED COMMUNICATIONS,MOVING SERVICES 56,$31910.00,08/20/2008,RODGERS BROTHERS CUSTODIAL SER,2230 LAWRENCE AVE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO268173,DEPARTMENT OF PARKS AND RECREATION,"JANITORIAL SUPPLIES, GENERAL LINE 00",$5330.00,08/20/2008,GENERAL MERCHANDISE,"2221 ADAMS PLACE, N.E.  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO268097,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"GYMNASIUM APPARATUS AND EQUIPMENT: BICYCLE TRAINERS, CLIMBING ROPES, EXERCISER UNITS, GAME STANDARDS, HORIZONTAL, PARALLEL, AND STALL BARS 57",$18705.00,08/20/2008,FITNESS RESOURCE,2721 DORR AVENUE  ; FAIRFAX  ; VA  ; 22031,FAIRFAX  ,VA
PO268164,DEPARTMENT OF EMPLOYMENT SERVICES,"MISCELLANEOUS SERVICES, NO. 1 00",$62938.00,08/20/2008,OPPORTUNITIES INDUSTRIAL,3707 MLK AVENUE SE   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO268253,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"FINISHES: FLOORING, WALL AND CEILING, ETC. 45",$24712.00,08/20/2008,RODGERS BROTHERS CUSTODIAL SER,2230 LAWRENCE AVE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
