PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS
PO369968,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,23419.2,08/16/2011,"OST, INC.","1155 15TH STREET NW, WASHINGTON, DC, 20005"
PO369981,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,33350.27,08/16/2011,OPTIONS PUBLIC CHARTER SCHOOL,"1375 E STREET NE, WASHINGTON, DC, 20002"
PO367561-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,5129.39,08/16/2011,OPTIONS PUBLIC CHARTER SCHOOL,"1375 E STREET NE, WASHINGTON, DC, 20002"
PO369864,DEPARTMENT ON DISABILITY SERVICES,EMPLOYMENT GENERATING ACTIVITIES 39,21675,08/16/2011,DAVIS MEMORIAL GOODWILL INDUSTRIES,"2200 SOUTH DAKOTA AVENUE NE, WASHINGTON, DC, 20018"
PO370057,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CORRECTION FLUID, SHEETS AND TAPE, INCLUDING THINNERS (FOR TYPEWRITER CORRECTION TAPE SEE 610-96) 29",3482.07,08/16/2011,METROPOLITAN OFFICE PRODUCTS,"910 BARNABY ST SE, WASHINGTON, DC, 20032"
PO369046-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,LT JOSEPH P KENNEDY INSTITUTE,"801 BUCHANAN STREET NE, WASHINGTON, DC, 20017"
PO369077-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,BOOKER T WASHINGTON PCS,"1346 FLORIDA AVE. NW, WASHINGTON, DC, 20009"
PO289882-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,"CONSTRUCTION SERVICES, GENERAL 00",19922,08/16/2011,JONES & WOODS INC,"1702 MINNESOTA AVENUE SE, WASHINGTON, DC, 20020"
PO328957-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,47208.88,08/16/2011,VISTA CONTRACTING INC.,"1310 PENNSYLVANIA AVE, SE., WASHINGTON, DC, 20003"
PO370044,EQUIPMENT LEASE - CAPITAL,AUTOMOBILES AND STATION WAGONS 06,155863.2,08/16/2011,GENERAL SERVICE ADMINISTRATION,"1500 EAST BANNISTER ROAD, KANSAS CITY, MD, 64131"
PO370093,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,112508.66,08/16/2011,"SYNERGISTIC, INC.","5801 ALLENTOWN RD, CAMP SPRINGS, MD, 20746"
PO370052,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,112086.25,08/16/2011,"SYNERGISTIC, INC.","5801 ALLENTOWN RD, CAMP SPRINGS, MD, 20746"
PO368991-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,YWCA NAT'L CAPITAL AREA,"624 9TH STREET NW  2ND FLOOR, WASHINGTON, DC, 20001"
PO370053,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,45866.26,08/16/2011,YWCA NAT'L CAPITAL AREA,"624 9TH STREET NW  2ND FLOOR, WASHINGTON, DC, 20001"
PO364858-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,219470.48,08/16/2011,COMMUNITY ACADEMY PCS,"1351 NICHOLSON STREET NW, WASHINGTON, DC, 20011"
PO370047,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,112500,08/16/2011,FRIENDS OF CARTER BARRON FOUND,"1234 MASSACHUSETTS AVE., NWSUITE 519, WASHINGTON, DC, 20005"
PO369083-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,"THE FAMILY PLACE, INC","3309 16TH STREET NW, WASHINGTON, DC, 20010"
PO370054,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,104575,08/16/2011,CITIWIDE COMPUTER TRAINING,"3636 16TH ST NW, WASHINGTON, DC, 20010"
PO367564-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,4639.61,08/16/2011,SEED FOUNDATION,"4300 C STREET  NE, WASHINGTON, DC, 20019"
PO369983,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,163757.19,08/16/2011,SEED FOUNDATION,"4300 C STREET  NE, WASHINGTON, DC, 20019"
PO368229-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,6950,08/16/2011,"MONA ELECTRIC GROUP, INC.","7915 MALCOM ROAD, CLINTON, MD, 20735"
PO369081-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,"PERRY SCHOOL COMMUNITY SERVICES CENTER, INC.","128 M STREET NW, WASHINGTON, DC, 20001"
PO369082-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,ETHIOPIAN COMMUNITY CENTER INC,"7603 GEORGIA AVENUE NW SUITE 100, WASHINGTON, DC, 20012"
PO369044-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,"LANGUAGE,ETC...","2200 CALIFORNIA ST NW, WASHINGTON, DC, 20008"
PO369980,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,20000,08/16/2011,CESAR CHAVEZ PCS,"709 12TH STREET SE, WASHINGTON, DC, 20003"
PO370072,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,15435.08,08/16/2011,LATIN AMERICAN YOUTH CENTER,"1419 COLUMBIA ROAD NW, WASHINGTON, DC, 20009"
PO370051,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,110113.5,08/16/2011,LATIN AMERICAN YOUTH CENTER,"3035 15TH ST. NW, WASHINGTON, DC, 20009"
PO369049-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,NATL. ORG. OF CONCERNED,"1313 L STREET NW, WASHINGTON, DC, 20005"
PO369084-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,SOUTHEAST MINISTRY,"3111 MARTIN LUTHER KING, JR. AVENUE, SE, WASHINGTON, DC, 20032"
PO369047-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,MARSHALL HEIGHTS COMMUNITY,"3939 BENNING ROAD NE, WASHINGTON, DC, 20019"
PO370019,OFF PUBLIC ED FACILITIES MODERNIZATION,ADMINISTRATIVE CONSULTING 06,4620,08/16/2011,"MVS, INC.","1401 14TH STREET NW, WASHINGTON, DC, 20005"
PO369048-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,MARY'S CTR MATERNAL CHILD CARE,"2333 ONTARIO RD NW, WASHINGTON, DC, 20009"
PO370088,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,2996.06,08/16/2011,LASER ART INC,"2209 CHANNING STREET NE, WASHINGTON, DC, 20018"
PO369977,DEPARTMENT OF HEALTH,"BOARDS: CALENDAR, SCHEDULE, DISPATCH, MANNING, ETC. 14",5000,08/16/2011,LASER ART INC,"2209 CHANNING STREET NE, WASHINGTON, DC, 20018"
PO354949-V2,OFFICE OF THE ATTORNEY GENERAL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,3850,08/16/2011,DR RICHARD H CONANT,"5530 WISCONSIN AVENUE, CHEVY CHASE, MD, 20815"
PO344972-V2,OFFICE OF THE ATTORNEY GENERAL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,3850,08/16/2011,DR RICHARD H CONANT,"5530 WISCONSIN AVENUE, CHEVY CHASE, MD, 20815"
PO370094,DEPARTMENT OF EMPLOYMENT SERVICES,PROGRAM/PROJECT DEVELOPMENT AND MANAGEMENT SERVICES 56,45000,08/16/2011,DANCE INSTITUTE OF WASHINGTON,"3400 14TH STREET NW, WASHINGTON, DC, 20010"
PO369994,DEPARTMENT OF HEALTH,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",10720,08/16/2011,DUPONT COMPUTERS,"1761 S STREET NW, WASHINGTON, DC, 20009"
PO364862-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,140815.74,08/16/2011,ARTS & TECHNOLOGY ACAD PCS,"5300 BLAINE STREET NE, WASHINGTON, DC, 20019"
PO303020-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,63535.25,08/16/2011,"GLOBAL CONSULTING, INC.","1818 NEW YORK AVE NE, WASHINGTON, DC, 20002"
PO370026,OFFICE OF THE INSPECTOR GENERAL,"PROJECTION DEVICES AND ACCESSORIES: INTERACTIVE CONFERENCING BOARDS, LCD, PADS, PANELS, ETC. 75",7170.63,08/16/2011,"MVS, INC.","1401 14TH STREET NW, WASHINGTON, DC, 20005"
PO370021,DEPARTMENT OF HUMAN SERVICES,"BULLETIN BOARDS: CHANGEABLE LETTER, CORK, MAGNETIC, PEG, ETC. 25",2999.07,08/16/2011,"MVS, INC.","1401 14TH STREET NW, WASHINGTON, DC, 20005"
PO291480-V3,OFF PUBLIC ED FACILITIES MODERNIZATION,"CONSTRUCTION SERVICES, GENERAL 00",32402.15,08/16/2011,"VERIZON FEDERAL, INC","2055 L STREET, N.W., WASHINGTON, DC, 20036"
PO370031,DEPARTMENT OF PARKS AND RECREATION,AMUSEMENT AND ENTERTAINMENT SERVICES (INCL. PERFORMING ARTS PROFESSIONALS) 05,4050,08/16/2011,DAVE AND BUSTER'S,"2481 MANANA DRIVE, DALLAS, TX, 75220"
PO367557-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,7242.65,08/16/2011,MERIDIAN PUBLIC CHARTER SCHOOL,"1328 FLORIDA AVENUE NW, WASHINGTON, DC, 20009"
PO369987,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,72581.17,08/16/2011,MERIDIAN PUBLIC CHARTER SCHOOL,"1328 FLORIDA AVENUE NW, WASHINGTON, DC, 20009"
PO369079-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,CONGRESS HEIGHTS TRAINING,"3215 MLK JR AVE SE, WASHINGTON, DC, 20032"
PO369992,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,56250,08/16/2011,"UNITY HEALTH CARE, INC.","1220 12TH STREET SE, WASHINGTON, DC, 20003"
PO369329-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,ANACOSTIA COMM. OUTREACH CTR,"711 24TH ST., NE   #119, WASHINGTON, DC, 20002"
PO350814-V3,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,5040,08/16/2011,LATINO ECONOMIC DVLPMNT CORP,"2316 18TH ST NW, WASHINGTON, DC, 20009"
PO370083,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03",47755.5,08/16/2011,SCHOLAR ACADEMIES,"1200 LIBERTY RIDGE DR STE 300, WAYNE, PA, 19087"
PO369330-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,ACADEMY OF HOPE,"601 EDGEWOOD STREET, NE SUITE #25, WASHINGTON, DC, 20017"
PO351165-V4,DEPARTMENT OF MENTAL HEALTH,ELECTRICAL ENGINEERING 31,31775,08/16/2011,RSC ELECTRICAL & MECHANICAL CO,"6035 DIX STREET NE, WASHINGTON, DC, 20019"
PO370089,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",3232.43,08/16/2011,THE BOOKSOURCE INC,"1230 MACKLIND AVE, ST. LOUIS, MO, 63110"
PO369085-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",10973.87,08/16/2011,SO OTHERS MIGHT EAT,"71 O STREET NW, WASHINGTON, DC, 20001"
PO369969,DC PUBLIC LIBRARY,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",78130,08/16/2011,PROQUEST LLC,"789 EAST EISENHOWER PARKWAY, ANN ARBOR, MI, 48106"
PO370034,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,3616,08/16/2011,NATIONAL 4-H COUNCIL,"7100 CONNECTICUT AVENUE, CHEVY CHASE, MD, 20815"
PO320699-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,24684,08/16/2011,WINDOW SPECIALISTS INC,"127 N. 8TH ST. SUITE NO 300, LEBANON, PA, 17046"
PO369966,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,402607.33,08/16/2011,1417 N ST NE COOP ASSOC,"1417 N STREET NW COOPERATIVE ASSOCIATION, WASHINGTON, DC, 20005"
PO369993,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,12000,08/16/2011,VIRGINIA CENTER FOR THE MEDICALLY UNDERSERVED,"2265 KRAFT DRIVE, BLACKSBURG, VA, 24060"
PO370042,EQUIPMENT LEASE - CAPITAL,"EQUIPMENT, HEAVY 36",116340,08/16/2011,"ADVANCED TANK SYSTEMS, INC.","301 ENTERPRISE LANE, COLMAR, PA, 18915"
PO370027,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,6100,08/16/2011,CHESAPEAKE BEACH PROFESSIONAL,"3555 PONDS WOOD DRIVE, CHESAPEAKE BEACH, MD, 20732"
PO358947-V3,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,442540.11,08/16/2011,WHOLISTIC HOME AND COMMUNITY,"1221 MASS. AVE. NW, WASHINGTON, DC, 20005"
PO362011-V2,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,8650,08/16/2011,MILAN GRACE PLLC,"3817 W. PATAPSCO AVENUE, BALTIMORE, MD, 21229"
PO352516-V3,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,999633.02,08/16/2011,UNLIMITED RESTORATION SPECIALI,"379 CHERRY STREET, POTTSTOWN, PA, 19464"
PO370064,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",4024.32,08/16/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO363480-V2,CRIMINAL JUSTICE COORDINATING COUNCIL,"STORAGE DEVICES, ELECTRONIC (DISK DRIVE COMPATIBLE) 89",161280.48,08/16/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO370063,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",5304.24,08/16/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO370077,OFFICE OF CHIEF TECHNOLOGY OFFICER,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",18931.2,08/16/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO370058,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",4809.48,08/16/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO370079,OFFICE OF CHIEF TECHNOLOGY OFFICER,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",4184.4,08/16/2011,DELL COMPUTER CORP.,"ONE DELL WAY, ROUND ROCK, TX, 78682"
PO369979,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,42535,08/16/2011,FRIENDSHIP PCS,"120 Q STREET NE, WASHINGTON, DC, 20002"
PO364789-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,1243309.56,08/16/2011,FRIENDSHIP PCS,"120 Q STREET NE, WASHINGTON, DC, 20002"
PO370024,DEPARTMENT OF HUMAN SERVICES,"PROGRAMMING: BASIC, ASSEMBLER, COMPUTER ASSISTED SOFTWARE ENGINEERING TOOLS (CASE), LIBRARIES, ETC. 67",18750,08/16/2011,CITRIX SYSTEM INC,"851 WEST CYPRESS CREEK RD, FT. LAUDERDALE, FL, 33330"
PO370039,DEPARTMENT OF PARKS AND RECREATION,BEESWAX 06,4990,08/16/2011,THE HAMILTON GROUP,"4406 GAULT PLACE NE, WASHINGTON, DC, 20019"
PO369625,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",10620,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO369942,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",5394,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO369929,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BRACES: MONITOR, PC'S, CRT'S, DESK TOP PRINTERS, ETC. 20",4614,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO369946,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COVERS AND ENCLOSURES (ACOUSTICAL AND PROTECTIVE) (FOR EQUIPMENT) 34,3702,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO366424,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTER SYSTEMS, DIGITAL 25",5578,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO369945,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",5520,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO369941,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CALCULATORS, ELECTRONIC, DISPLAY TYPE, PROGRAMMABLE 19",5380,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO367935,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"UTILITIES: BACK-UP, BATCH FILE, FIREWALL, MENUS, OPERATING SYSTEM, NETWORK OPERATING SYSTEM, NETWORK MANAGEMENT, RECOVERY, SCREEN, SECURITY, VIRUS PROTECTION, ETC. 90",17481.2,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO365528,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,4319,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO369926,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,ELECTRICAL AND ELECTRONIC PRODUCTS (INCL. COMPUTERS AND PERIPHERALS) 37,9568,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO367934,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",7699,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO364023,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",3632,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO363257,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",3550,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO363547,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",9027.8,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO369939,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",4802,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO364030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",3383.85,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO369479,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",3933,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO364683,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",3866.95,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO307108-V2,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,24881.59,08/16/2011,AES ELECTRICAL INC,"13335 MID ATLANTIC BLVD, LAUREL, MD, 20708"
PO369985,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,56992.11,08/16/2011,SEPTIMA CLARK PCS,"2501 MLK JR AVE SE, WASHINGTON, DC, 20020"
PO370033,OFFICE OF CHIEF FINANCIAL OFFICER,MEMBERSHIP DUES 48,9000,08/16/2011,NATIONAL ASSO OF STATE TREAS,"2760 RESEARCH PARK DRIVE, LEXINGTON, KY, 40578"
PO364850-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,290180.77,08/16/2011,HOWARD ROAD ACADEMY PCS,"701 HOWARD ROAD SE, WASHINGTON, DC, 20020"
PO342664-V3,DEPARTMENT OF MENTAL HEALTH,"GENERATORS, PORTABLE AND STATIONARY, INCLUDING PARTS AND ACCESSORIES MAINTENANCE AND REPAIR 39",54032,08/16/2011,"GENERAL SERVICES, INC.","3613 GEORGIA AVENUE NW, WASHINGTON, DC, 20010"
PO343445-V2,DEPARTMENT OF MENTAL HEALTH,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,48000,08/16/2011,PREMIER OFFICE & MEDICAL SUPPL,"1020 49TH STREET NE, WASHINGTON, DC, 20019"
PO369940,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",6310,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO366752,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",3052.9,08/16/2011,APPLE COMPUTER INC,"1 INFINITE LOOP, CUPERTINO, CA, 95014"
PO364845-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,342721.39,08/16/2011,HYDE LEADERSHIP PCS WASH,"1800 PERRY STREET NE, WASHINGTON, DC, 20018"
PO367550-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,7377.34,08/16/2011,HYDE LEADERSHIP PCS WASH,"1800 PERRY STREET NE, WASHINGTON, DC, 20018"
PO364841-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,104187.32,08/16/2011,THURGOOD MARSHALL ACADEMY,"2427 MLK JR AVENUE SE, WASHINGTON, DC, 20020"
PO370073,OFFICE OF CHIEF TECHNOLOGY OFFICER,"CABINETS AND CASES: DESKTOP CASES, TOWER CASES, DRIVE CABINETS, ETC. 10",3046.4,08/16/2011,"NETWORKING FOR FUTURE, INC.","1023 15TH ST NW, WASHINGTON, DC, 20005"
PO369998,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,2679.76,08/16/2011,"KAMIT INSTITUTE-MAGNI ACHI,PCS","100 PEABODY STREET NW  FIRST FLOOR, WASHINGTON, DC, 20011"
PO369865,DEPARTMENT ON DISABILITY SERVICES,EMPLOYMENT GENERATING ACTIVITIES 39,21675,08/16/2011,NATIONAL CHILDRENS CENTER,"6200 2ND STREET NW, WASHINGTON, DC, 20011"
